<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CTD,20190702,104.60,104.70,103.50,104.60,94730
CTD,20190701,107.00,107.00,104.00,104.70,63670
CTD,20190628,107.00,107.00,101.00,107.00,126550
CTD,20190627,102.10,103.00,102.00,102.10,115140
CTD,20190626,102.00,103.00,101.00,102.40,110460
CTD,20190625,98.00,103.80,97.60,102.00,178200
CTD,20190624,98.00,98.00,97.00,98.00,74580
CTD,20190621,97.00,97.70,96.70,97.50,39220
CTD,20190620,97.60,98.50,97.00,97.00,91960
CTD,20190619,97.50,98.20,97.00,97.50,43540
CTD,20190618,99.10,99.80,96.60,96.80,88410
CTD,20190617,102.00,102.00,98.10,99.10,123460
CTD,20190614,102.50,104.30,102.00,102.30,46850
CTD,20190613,105.90,106.30,104.30,104.30,34220
CTD,20190612,106.00,106.80,105.90,105.90,28630
CTD,20190611,106.50,106.50,106.00,106.10,27850
CTD,20190610,106.00,107.00,105.50,106.10,37210
CTD,20190607,105.50,107.00,105.40,105.60,50660
CTD,20190606,108.00,108.00,105.00,107.00,41540
CTD,20190605,109.00,109.00,107.00,107.00,25090
CTD,20190604,111.00,111.10,106.30,106.30,44580
CTD,20190603,111.00,111.30,106.00,110.90,86360
CTD,20190531,112.00,112.80,111.00,111.00,27200
CTD,20190530,111.10,113.50,110.50,112.00,37380
CTD,20190529,113.00,113.00,111.00,111.10,72640
CTD,20190528,114.00,114.80,113.00,113.00,41950
CTD,20190527,115.20,115.20,114.00,114.00,92060
CTD,20190524,115.20,115.80,114.80,115.20,63710
CTD,20190523,115.20,115.90,115.00,115.20,42500
CTD,20190522,115.10,116.00,115.10,115.30,37950
CTD,20190521,116.20,117.30,115.10,115.70,119230
CTD,20190520,118.00,118.00,116.00,117.50,41630
CTD,20190517,119.50,119.50,117.10,118.00,55810
CTD,20190516,117.00,119.00,116.90,119.00,91750
CTD,20190515,114.50,117.60,114.50,117.00,129120
CTD,20190514,116.40,117.00,114.00,114.50,107530
CTD,20190513,117.20,119.00,116.60,116.60,57910
CTD,20190510,117.00,119.20,117.00,117.20,139060
CTD,20190509,118.20,118.20,117.00,117.00,48370
CTD,20190508,119.00,119.00,118.00,118.20,92530
CTD,20190507,119.50,120.10,119.20,119.20,46880
CTD,20190506,120.50,120.50,119.00,119.50,82050
CTD,20190503,120.00,121.50,119.80,121.50,83910
CTD,20190502,120.80,120.80,120.00,120.50,53090
CTD,20190426,121.00,121.10,119.50,120.80,82680
CTD,20190425,121.00,121.50,120.50,120.90,97870
CTD,20190424,120.10,121.00,119.50,121.00,110990
CTD,20190423,119.50,120.50,119.30,120.10,180470
CTD,20190422,120.20,120.60,118.70,119.50,377800
CTD,20190419,120.40,122.00,120.30,121.50,222600
CTD,20190418,121.00,121.60,120.00,120.60,264910
CTD,20190417,123.20,123.90,121.00,121.60,240130
CTD,20190416,125.00,125.00,122.20,124.00,182590
CTD,20190412,122.00,126.40,122.00,126.10,270900
CTD,20190411,121.60,127.00,119.70,121.70,990750
CTD,20190410,121.80,128.00,121.80,121.80,698410
CTD,20190409,140.00,140.10,130.90,130.90,651760
CTD,20190408,141.90,142.00,140.50,140.70,42980
CTD,20190405,140.40,142.40,140.40,140.70,132940
CTD,20190404,141.00,142.70,140.90,140.90,52470
CTD,20190403,142.50,142.50,140.10,142.40,57200
CTD,20190402,142.00,143.00,140.90,142.50,110590
CTD,20190401,141.00,142.20,141.00,141.90,65930
CTD,20190329,146.00,146.20,143.00,143.40,89830
CTD,20190328,141.00,146.00,141.00,146.00,212520
CTD,20190327,140.50,142.00,140.40,142.00,42890
CTD,20190326,137.00,140.40,137.00,140.40,79900
CTD,20190325,141.00,141.30,138.00,138.00,88450
CTD,20190322,142.00,142.90,140.00,142.90,114810
CTD,20190321,141.80,142.80,141.00,142.00,194380
CTD,20190320,142.50,143.00,140.00,141.90,85310
CTD,20190319,142.00,143.50,141.50,142.30,203850
CTD,20190318,142.00,142.70,141.20,141.70,95970
CTD,20190315,144.30,144.30,142.00,142.00,139980
CTD,20190314,142.00,144.80,142.00,144.20,176420
CTD,20190313,142.00,142.40,141.50,142.00,158550
CTD,20190312,141.00,142.90,140.20,141.90,298250
CTD,20190311,142.00,142.00,138.00,141.00,152130
CTD,20190308,135.50,144.90,133.50,141.10,427970
CTD,20190307,133.00,136.00,131.90,135.50,237200
CTD,20190306,133.50,135.00,131.90,133.00,185040
CTD,20190305,134.20,136.00,133.50,133.50,187880
CTD,20190304,134.20,136.90,134.20,134.20,154640
CTD,20190301,134.00,135.00,134.00,134.20,51090
CTD,20190228,137.50,137.50,133.80,133.80,124220
CTD,20190227,136.00,136.90,135.60,136.50,49860
CTD,20190226,136.90,138.00,135.00,135.60,81830
CTD,20190225,134.20,137.00,134.20,136.00,71570
CTD,20190222,135.80,137.00,134.20,134.20,111040
CTD,20190221,137.10,137.10,136.00,137.00,82600
CTD,20190220,136.10,138.00,136.10,137.10,59520
CTD,20190219,139.50,139.80,136.80,136.80,141990
