<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20190702,106.10,109.10,106.00,106.10,18350
DHG,20190701,108.58,108.68,104.70,104.70,17220
DHG,20190628,108.48,108.77,100.02,108.48,17610
DHG,20190627,107.48,108.48,105.69,107.48,16050
DHG,20190626,104.50,105.99,104.50,105.69,7050
DHG,20190625,102.71,104.90,102.71,104.50,17640
DHG,20190624,102.51,104.01,102.51,104.00,16300
DHG,20190621,102.81,103.01,102.41,103.01,9010
DHG,20190620,99.53,103.41,99.53,101.02,18450
DHG,20190619,101.02,105.70,100.52,101.02,12850
DHG,20190618,103.80,103.80,98.92,101.02,35200
DHG,20190617,106.09,107.48,103.30,103.80,17860
DHG,20190614,105.50,108.68,105.30,106.09,11740
DHG,20190613,112.46,112.46,108.67,108.68,20210
DHG,20190612,112.46,112.56,111.27,111.46,20490
DHG,20190611,113.26,113.66,113.26,113.36,10050
DHG,20190610,114.35,114.45,111.56,113.26,26390
DHG,20190607,112.46,115.25,112.46,114.35,9590
DHG,20190606,114.35,114.85,111.96,114.35,9850
DHG,20190605,112.66,114.45,111.27,113.95,2540
DHG,20190604,113.46,113.46,111.96,112.76,14710
DHG,20190603,114.45,115.35,112.46,112.66,11140
DHG,20190531,114.95,115.55,113.46,114.95,8510
DHG,20190530,114.65,115.44,113.45,114.95,5520
DHG,20190529,115.95,115.95,112.96,113.95,6530
DHG,20190528,114.55,115.55,113.26,115.35,4060
DHG,20190527,116.45,116.45,115.55,115.55,1050
DHG,20190524,114.46,115.75,112.46,115.55,12440
DHG,20190523,115.95,116.44,112.46,113.46,27880
DHG,20190522,114.55,115.45,114.55,115.35,6030
DHG,20190521,113.95,115.94,113.45,115.15,25210
DHG,20190520,114.45,116.14,113.95,113.95,19220
DHG,20190517,114.26,116.35,114.26,114.45,6800
DHG,20190516,112.46,117.44,112.46,115.55,12330
DHG,20190515,116.94,116.94,115.45,115.55,13650
DHG,20190514,116.64,117.44,115.45,116.94,10180
