<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DPM,20190627,15.00,15.70,14.65,15.00,2126990
DPM,20190626,16.00,16.05,15.65,15.65,1411060
DPM,20190625,16.20,16.20,16.05,16.10,532780
DPM,20190624,16.30,16.40,16.05,16.30,399080
DPM,20190621,16.30,16.30,15.95,16.00,6145890
DPM,20190620,16.40,16.40,16.20,16.30,1328720
DPM,20190619,16.25,16.60,16.25,16.25,432050
DPM,20190618,16.50,16.65,16.45,16.55,115500
DPM,20190617,17.10,17.10,16.45,16.50,471760
DPM,20190614,17.40,17.50,17.00,17.15,285710
DPM,20190613,17.60,17.60,17.20,17.35,944940
DPM,20190612,17.30,17.54,16.96,17.20,798250
DPM,20190611,17.69,17.69,17.30,17.30,169120
DPM,20190610,17.69,17.78,17.39,17.69,283670
DPM,20190607,17.59,17.64,17.39,17.54,124440
DPM,20190606,17.69,17.79,17.20,17.49,191910
DPM,20190605,17.79,17.79,17.50,17.69,380980
DPM,20190604,17.49,17.68,17.10,17.35,338540
DPM,20190603,17.35,17.74,17.11,17.49,696080
DPM,20190531,17.83,18.02,17.34,17.35,607600
DPM,20190530,18.08,18.08,17.74,17.73,241650
DPM,20190529,17.88,18.12,17.68,18.03,293070
DPM,20190528,17.97,18.12,17.58,17.73,426470
DPM,20190527,18.03,18.13,17.88,18.07,180500
DPM,20190524,17.98,18.22,17.69,18.03,720410
DPM,20190523,17.05,18.02,17.00,18.03,779960
DPM,20190522,17.15,17.25,17.05,17.05,119030
DPM,20190521,17.20,17.34,17.15,17.15,201580
DPM,20190520,17.05,17.20,17.05,17.05,216940
DPM,20190517,17.30,17.40,17.06,17.05,254780
DPM,20190516,17.29,17.49,17.29,17.35,138200
DPM,20190515,17.15,17.39,17.15,17.39,135460
DPM,20190514,17.20,17.44,17.01,17.15,271900
DPM,20190513,17.00,17.39,17.00,17.20,121080
DPM,20190510,17.44,17.44,17.20,17.39,127320
DPM,20190509,17.06,17.40,17.06,17.10,98300
DPM,20190508,17.49,17.49,17.00,17.01,189830
DPM,20190507,17.20,17.54,16.91,17.49,367380
DPM,20190506,17.49,17.49,17.20,17.20,136840
DPM,20190503,17.59,17.64,17.49,17.64,283250
DPM,20190502,17.59,17.64,17.30,17.54,268140
DPM,20190426,17.39,17.49,17.30,17.49,139400
DPM,20190425,17.49,17.59,17.30,17.54,78770
DPM,20190424,17.20,17.59,17.20,17.49,216350
DPM,20190423,16.57,17.35,16.57,17.20,473710
DPM,20190422,17.10,17.10,16.56,16.57,237300
DPM,20190419,17.05,17.05,16.86,17.05,286000
DPM,20190418,17.44,17.54,17.05,17.05,360340
DPM,20190417,17.69,17.69,17.49,17.54,138850
DPM,20190416,17.78,17.78,17.39,17.59,416160
DPM,20190412,17.84,17.84,17.64,17.78,214390
DPM,20190411,17.88,17.98,17.64,17.69,138330
DPM,20190410,18.07,18.07,17.68,17.69,350220
DPM,20190409,18.46,18.46,18.07,18.07,210460
DPM,20190408,18.07,18.56,18.07,18.41,184270
