<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20190627,45.40,46.10,45.30,45.40,1221860
FPT,20190626,46.50,46.50,46.10,46.15,1014470
FPT,20190625,45.00,46.55,44.80,46.50,3269450
FPT,20190624,45.40,45.45,45.15,45.15,726160
FPT,20190621,45.50,45.60,45.25,45.40,872460
FPT,20190620,44.85,45.40,44.65,45.40,1356030
FPT,20190619,44.65,44.70,44.20,44.65,530820
FPT,20190618,44.35,44.45,43.75,44.05,763680
FPT,20190617,44.10,44.50,43.90,44.05,1013550
FPT,20190614,44.60,44.90,44.40,44.40,559800
FPT,20190613,45.05,45.10,44.50,44.55,856270
FPT,20190612,45.20,45.60,45.00,45.05,1284520
FPT,20190611,45.10,45.60,44.90,45.20,1296500
FPT,20190610,45.50,45.70,44.80,45.10,1227340
FPT,20190607,44.80,45.25,44.70,45.20,1304680
FPT,20190606,43.80,44.70,43.60,44.50,922740
FPT,20190605,43.50,43.90,43.50,43.60,500100
FPT,20190604,43.50,43.70,43.25,43.30,537160
FPT,20190603,44.00,44.10,43.50,43.50,881810
FPT,20190531,44.60,44.80,44.10,44.10,611860
FPT,20190530,44.10,44.70,43.90,44.55,986450
FPT,20190529,44.85,44.85,44.00,44.10,1505300
FPT,20190528,45.00,45.40,44.75,44.85,518470
FPT,20190527,45.30,45.45,44.65,45.25,1261950
FPT,20190524,45.50,45.95,45.25,45.60,1014750
FPT,20190523,45.25,45.80,45.20,45.70,1267520
FPT,20190522,45.95,46.15,45.25,45.25,1563650
FPT,20190521,45.50,46.05,45.35,45.90,1016530
FPT,20190520,44.50,45.30,44.50,45.25,1792130
FPT,20190517,45.00,45.00,44.30,44.45,1487590
FPT,20190516,44.90,45.17,44.23,44.23,1891290
FPT,20190515,44.99,45.08,44.63,44.90,1539940
FPT,20190514,44.00,45.25,43.73,44.72,1560830
FPT,20190513,43.65,44.36,43.65,44.09,850540
FPT,20190510,43.65,43.87,43.42,43.65,1027830
FPT,20190509,44.19,44.23,43.29,43.29,860940
FPT,20190508,43.91,44.27,43.65,44.23,959020
FPT,20190507,43.74,44.28,43.70,44.27,1094880
FPT,20190506,43.65,44.01,43.16,43.43,1455140
FPT,20190503,44.45,44.54,44.19,44.54,1059570
FPT,20190502,44.36,44.72,44.23,44.41,885020
FPT,20190426,43.56,44.32,43.47,44.14,864950
FPT,20190425,43.21,43.78,43.16,43.47,970660
FPT,20190424,43.20,43.34,42.85,43.25,855130
FPT,20190423,42.67,43.16,42.31,42.67,549400
FPT,20190422,43.20,43.20,42.58,42.67,826090
FPT,20190419,43.38,43.56,43.11,43.16,453980
FPT,20190418,43.20,43.87,42.80,43.20,975930
FPT,20190417,43.03,44.10,42.94,43.20,1959530
FPT,20190416,42.32,42.94,42.32,42.67,907000
FPT,20190412,41.74,43.12,41.74,42.94,875090
FPT,20190411,41.78,42.31,41.74,41.87,359910
FPT,20190410,41.86,42.13,41.64,41.78,731100
FPT,20190409,42.58,43.20,42.13,42.13,1011680
FPT,20190408,42.45,42.76,42.27,42.58,452660
FPT,20190405,42.58,42.67,42.27,42.58,615200
FPT,20190404,42.32,42.94,42.09,42.58,1716130
FPT,20190403,41.34,42.05,40.98,42.05,1034100
FPT,20190402,40.80,41.60,40.80,40.98,1354480
FPT,20190401,40.89,40.89,40.53,40.80,327500
FPT,20190329,40.62,40.62,40.35,40.53,446750
FPT,20190328,39.87,40.40,39.87,40.22,362360
FPT,20190327,39.90,40.17,39.90,40.09,589040
FPT,20190326,40.08,40.08,39.64,39.86,386120
FPT,20190325,39.37,40.09,39.37,39.55,633520
FPT,20190322,40.17,40.44,40.13,40.13,687690
FPT,20190321,40.80,40.80,40.18,40.17,825740
FPT,20190320,40.62,40.89,40.31,40.49,797270
FPT,20190319,41.15,41.24,40.70,40.71,914720
FPT,20190318,41.25,41.38,40.94,41.15,994080
FPT,20190315,41.20,41.24,40.75,40.98,1041840
FPT,20190314,41.15,41.42,40.97,41.20,533480
FPT,20190313,41.42,41.60,41.15,41.15,1001890
FPT,20190312,39.86,41.42,39.86,41.42,1930870
FPT,20190311,39.77,39.95,39.59,39.64,364520
FPT,20190308,39.82,39.90,39.59,39.77,693180
FPT,20190307,39.73,40.09,39.73,39.86,374340
FPT,20190306,40.04,40.18,39.60,39.73,695230
FPT,20190305,40.09,40.27,39.91,40.00,824300
FPT,20190304,39.73,40.26,39.73,40.09,806770
FPT,20190301,39.68,39.73,39.33,39.73,590780
FPT,20190228,40.17,40.17,39.37,39.37,1372190
FPT,20190227,40.26,40.48,39.99,40.17,485650
FPT,20190226,40.62,40.62,40.08,40.26,663220
FPT,20190225,40.57,41.15,40.48,40.53,1023660
FPT,20190222,39.91,40.44,39.55,40.26,1243720
FPT,20190221,39.82,39.99,39.46,39.91,749950
FPT,20190220,39.46,40.13,39.46,39.95,499430
FPT,20190219,39.82,40.22,39.46,39.55,1470880
FPT,20190218,39.64,39.73,39.28,39.55,306310
FPT,20190215,39.42,39.60,39.20,39.37,647230
FPT,20190214,39.77,39.99,39.41,39.42,616980
FPT,20190213,39.20,40.09,39.20,39.68,1125370
FPT,20190212,39.20,39.73,39.11,39.11,701570
FPT,20190211,38.31,39.46,38.04,39.33,1000430
FPT,20190201,38.48,38.48,36.97,37.95,599890
FPT,20190131,38.57,38.66,38.21,38.48,517260
FPT,20190130,37.86,38.66,37.77,38.48,689260
FPT,20190129,37.77,37.86,37.41,37.86,430580
FPT,20190128,37.86,37.86,37.50,37.50,216330
FPT,20190125,37.77,37.94,37.68,37.77,213470
FPT,20190124,37.76,37.94,37.72,37.81,234470
FPT,20190123,37.68,37.76,37.54,37.72,193460
FPT,20190122,37.86,38.08,37.73,37.72,141480
FPT,20190121,37.59,38.12,37.59,37.86,247800
FPT,20190118,37.50,37.86,37.41,37.41,227150
FPT,20190117,37.86,38.08,37.41,37.41,379770
FPT,20190116,38.31,38.31,37.91,37.90,186590
FPT,20190115,37.68,38.13,37.68,38.13,339480
FPT,20190114,37.68,37.95,37.41,37.86,398400
FPT,20190111,37.77,37.91,37.46,37.59,596090
FPT,20190110,37.77,37.90,37.55,37.55,207330
FPT,20190109,37.50,37.94,37.32,37.77,309040
FPT,20190108,37.23,37.41,37.14,37.41,295660
FPT,20190107,37.23,37.50,37.06,37.23,408470
FPT,20190104,36.16,36.92,36.07,36.61,318570
FPT,20190103,36.92,36.92,36.25,36.34,716600
FPT,20190102,37.23,37.55,36.65,36.70,459120
FPT,20181228,37.45,37.59,37.23,37.59,387170
FPT,20181227,37.50,37.64,37.24,37.23,454860
FPT,20181226,36.97,37.28,36.88,36.88,333590
FPT,20181225,36.88,36.96,36.52,36.97,732310
FPT,20181224,37.95,38.13,37.41,37.41,212530
FPT,20181221,37.33,37.86,37.33,37.86,453810
FPT,20181220,37.68,37.77,37.46,37.46,461210
FPT,20181219,37.41,37.94,37.28,37.50,471580
FPT,20181218,37.72,38.12,37.28,37.41,1125660
FPT,20181217,39.29,39.29,38.31,38.30,777640
FPT,20181214,39.73,39.91,39.28,39.33,787920
