<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20190702,103.90,104.00,102.80,103.90,199800
GAS,20190701,103.70,103.70,101.60,103.70,357230
GAS,20190628,102.00,103.60,97.50,97.50,995340
GAS,20190627,98.00,105.50,98.00,98.00,219480
GAS,20190626,104.50,105.30,103.90,104.70,150000
GAS,20190625,103.50,105.00,103.30,103.50,225300
GAS,20190624,101.00,105.20,101.00,104.50,141490
GAS,20190621,105.50,106.10,105.00,105.50,194280
GAS,20190620,103.70,105.20,103.00,104.80,326020
GAS,20190619,103.70,103.70,102.40,103.70,177540
GAS,20190618,101.50,101.90,101.10,101.50,157350
GAS,20190617,102.00,102.70,101.10,101.90,117830
GAS,20190614,101.50,102.60,101.50,102.00,181500
GAS,20190613,99.90,102.50,99.60,101.50,277920
GAS,20190612,103.10,103.40,101.50,101.50,222140
GAS,20190611,103.50,104.10,102.10,104.00,239360
GAS,20190610,104.00,104.60,103.00,103.50,301290
GAS,20190607,101.00,103.00,99.80,103.00,553140
GAS,20190606,101.00,101.00,99.80,99.80,343360
GAS,20190605,103.50,103.70,102.00,102.00,100400
GAS,20190604,101.40,103.00,100.00,102.00,187500
GAS,20190603,102.30,103.00,99.00,101.40,585280
GAS,20190531,106.50,107.80,104.30,104.30,370420
GAS,20190530,108.70,109.10,108.00,108.10,105790
GAS,20190529,107.90,108.90,107.50,108.70,254400
GAS,20190528,108.90,108.90,107.00,107.90,141830
GAS,20190527,107.00,108.10,106.50,107.70,196160
GAS,20190524,107.00,109.10,106.50,106.50,605650
GAS,20190523,110.00,110.50,107.50,109.10,469570
GAS,20190522,111.50,113.50,110.50,110.50,255740
GAS,20190521,113.00,113.20,111.30,111.50,396200
GAS,20190520,110.70,113.00,110.20,113.00,395860
GAS,20190517,111.00,111.40,110.20,110.20,291760
GAS,20190516,112.00,112.00,110.10,110.10,186420
GAS,20190515,109.00,110.80,109.00,110.00,308570
GAS,20190514,106.50,109.00,105.80,109.00,312120
GAS,20190513,108.00,108.00,106.50,106.60,266910
GAS,20190510,106.60,108.40,106.60,107.90,242390
GAS,20190509,109.00,109.00,106.40,106.60,319300
GAS,20190508,108.50,109.50,106.00,109.00,388880
GAS,20190507,108.80,109.80,108.00,108.50,235770
GAS,20190506,110.00,111.50,106.70,107.90,388710
GAS,20190503,112.30,113.90,111.50,112.50,208380
GAS,20190502,112.00,114.50,111.90,114.00,229350
GAS,20190426,112.20,113.50,112.00,112.80,155140
GAS,20190425,112.20,113.80,111.70,113.00,310480
GAS,20190424,112.00,114.90,112.00,112.20,451460
GAS,20190423,110.00,112.90,109.50,112.20,743710
GAS,20190422,106.30,110.00,106.20,108.60,415660
GAS,20190419,107.00,107.60,105.90,106.20,221520
GAS,20190418,106.50,107.00,105.30,105.60,265360
GAS,20190417,105.40,107.90,105.40,106.80,664240
GAS,20190416,105.00,105.80,104.00,105.30,303000
GAS,20190412,104.50,107.30,103.70,106.50,393550
GAS,20190411,106.20,106.20,105.00,105.00,281390
GAS,20190410,104.50,105.70,103.90,105.20,467860
GAS,20190409,108.00,108.00,104.50,105.00,705700
GAS,20190408,105.00,107.00,105.00,107.00,886190
GAS,20190405,101.30,103.80,101.00,103.80,845350
GAS,20190404,101.90,102.20,101.20,101.30,379650
GAS,20190403,101.10,101.90,100.10,101.50,451150
GAS,20190402,102.10,102.60,101.00,101.00,563160
GAS,20190401,98.50,101.00,98.50,100.70,433760
GAS,20190329,98.90,99.50,98.10,98.20,255710
