<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GMD,20190627,26.00,26.55,26.00,26.00,290660
GMD,20190626,26.00,26.65,26.00,26.40,366130
GMD,20190625,25.95,26.15,25.95,25.95,179940
GMD,20190624,26.10,26.25,26.00,26.15,130680
GMD,20190621,26.20,26.30,26.15,26.15,107680
GMD,20190620,26.00,26.15,25.90,26.05,318030
GMD,20190619,25.90,26.10,25.90,25.90,184070
GMD,20190618,25.95,26.00,25.85,25.90,246210
GMD,20190617,25.95,26.00,25.50,25.95,462770
GMD,20190614,26.00,26.15,25.95,25.95,175610
GMD,20190613,25.90,26.20,25.70,26.00,303270
GMD,20190612,26.15,26.20,25.95,26.00,143940
GMD,20190611,26.15,26.40,26.00,26.15,132460
GMD,20190610,26.65,26.65,26.10,26.15,231790
GMD,20190607,26.30,26.45,26.05,26.45,172470
GMD,20190606,25.90,26.30,25.75,26.30,146330
GMD,20190605,26.20,26.20,25.95,25.95,188150
GMD,20190604,25.80,26.15,25.70,25.85,221030
GMD,20190603,26.00,26.40,25.70,25.80,291060
GMD,20190531,26.60,26.70,26.10,26.10,329150
GMD,20190530,26.50,26.90,26.50,26.70,323620
GMD,20190529,27.30,27.30,26.80,26.80,262680
GMD,20190528,27.25,27.25,26.90,27.10,180450
GMD,20190527,27.30,27.30,26.90,27.00,185550
GMD,20190524,26.95,27.55,26.90,27.25,993350
GMD,20190523,26.70,27.00,26.70,26.95,357260
GMD,20190522,26.95,27.20,26.75,26.95,451950
GMD,20190521,27.30,27.30,26.90,26.90,432280
GMD,20190520,27.10,27.30,26.95,27.20,479310
GMD,20190517,26.20,27.00,26.00,27.00,698200
GMD,20190516,26.45,26.45,26.00,26.00,186600
GMD,20190515,26.40,26.55,26.30,26.30,229120
GMD,20190514,26.00,26.45,26.00,26.35,276050
GMD,20190513,26.05,26.45,26.00,26.25,197750
GMD,20190510,25.90,26.20,25.90,26.05,147760
GMD,20190509,26.10,26.30,25.90,26.00,212910
GMD,20190508,25.70,26.25,25.55,26.15,321110
GMD,20190507,26.20,26.25,25.70,25.85,78580
GMD,20190506,26.00,26.00,25.50,25.70,130950
GMD,20190503,26.00,26.20,25.90,26.20,256850
GMD,20190502,25.95,26.05,25.90,25.95,163010
GMD,20190426,25.80,25.95,25.70,25.90,93960
GMD,20190425,25.75,25.90,25.60,25.80,176570
GMD,20190424,25.45,25.75,25.45,25.70,187400
GMD,20190423,25.90,25.90,25.40,25.45,146000
GMD,20190422,25.90,25.95,25.00,25.45,225310
GMD,20190419,25.85,26.00,25.85,25.90,124180
GMD,20190418,25.85,26.10,25.85,25.85,340670
