<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPG,20190702,22.60,23.00,22.55,22.60,4776600
HPG,20190701,23.20,23.30,22.80,23.00,3836540
HPG,20190628,23.50,23.50,22.45,23.50,3923340
HPG,20190627,22.90,22.95,22.55,22.55,3756880
HPG,20190626,23.05,23.25,22.90,22.90,1906040
HPG,20190625,23.20,23.40,23.00,23.10,3284860
HPG,20190624,23.80,24.05,23.30,23.35,3089270
HPG,20190621,23.90,23.90,23.60,23.70,4429070
HPG,20190620,24.10,24.10,23.60,23.60,4370160
HPG,20190619,23.85,23.85,23.30,23.85,8365940
HPG,20190618,22.45,23.10,22.45,23.05,5058220
HPG,20190617,22.95,23.00,22.45,22.45,3644160
HPG,20190614,23.00,23.05,22.95,22.95,2068100
HPG,20190613,23.40,23.40,22.90,23.00,2523260
HPG,20190612,22.90,23.25,22.85,23.10,3132550
HPG,20190611,23.00,23.20,22.70,23.00,4409100
HPG,20190610,23.25,23.40,22.85,22.90,6567230
HPG,20190607,23.00,23.30,22.85,22.95,5101320
HPG,20190606,23.90,23.90,22.35,22.70,7082600
HPG,20190605,24.40,24.70,23.70,23.80,2988710
HPG,20190604,24.60,24.80,24.05,24.30,3337800
HPG,20190603,24.65,24.69,24.15,24.23,12274790
HPG,20190531,24.62,24.77,24.62,24.69,3394280
HPG,20190530,25.00,25.00,24.58,24.62,4194290
HPG,20190529,24.84,25.00,24.65,25.00,1660260
HPG,20190528,25.00,25.00,24.65,24.65,2839040
HPG,20190527,24.69,24.88,24.69,24.77,1699260
HPG,20190524,25.00,25.11,24.73,24.73,3667800
HPG,20190523,25.38,25.42,25.11,25.19,2533270
HPG,20190522,25.39,25.69,25.31,25.38,2514350
HPG,20190521,25.35,25.54,25.23,25.31,2147580
HPG,20190520,24.81,25.43,24.81,25.23,2216410
HPG,20190517,24.85,24.93,24.77,24.81,1491570
HPG,20190516,24.96,25.15,24.84,24.85,1378610
HPG,20190515,24.92,25.15,24.84,24.92,2537170
HPG,20190514,24.38,24.92,24.38,24.92,1820770
HPG,20190513,25.35,25.35,24.62,24.65,3810530
HPG,20190510,25.46,25.54,25.08,25.27,1909270
HPG,20190509,25.42,25.58,25.08,25.31,2112430
HPG,20190508,25.58,25.62,25.39,25.50,2812600
HPG,20190507,26.00,26.00,25.69,25.77,2820070
HPG,20190506,25.69,26.00,25.54,25.73,4500050
HPG,20190503,26.15,26.46,25.92,26.27,3495970
HPG,20190502,25.93,26.16,25.62,26.15,3807620
HPG,20190426,25.54,26.00,25.46,25.85,2820780
HPG,20190425,25.77,25.88,25.38,25.46,4094750
HPG,20190424,24.62,25.66,24.54,25.65,5801340
HPG,20190423,24.62,24.62,24.50,24.54,1685950
HPG,20190422,24.12,24.69,24.12,24.50,1823920
HPG,20190419,24.12,24.39,24.12,24.31,1213930
HPG,20190418,24.16,24.27,24.08,24.08,2388910
HPG,20190417,24.42,24.50,24.23,24.31,1860340
HPG,20190416,24.53,24.61,24.27,24.42,1546470
HPG,20190412,24.58,24.66,24.50,24.65,1576930
HPG,20190411,24.62,24.66,24.50,24.58,1516930
HPG,20190410,24.61,24.65,24.34,24.58,2207380
HPG,20190409,24.96,25.00,24.61,24.69,2884050
HPG,20190408,25.00,25.12,24.85,24.92,1380890
HPG,20190405,24.92,25.11,24.80,25.00,1836710
HPG,20190404,24.73,24.92,24.61,24.92,2765210
HPG,20190403,24.61,24.73,24.54,24.69,3775800
HPG,20190402,24.77,24.81,24.58,24.69,1796860
HPG,20190401,24.65,24.77,24.54,24.58,3670350
HPG,20190329,25.04,25.15,24.54,24.77,6534270
HPG,20190328,24.73,24.96,24.69,24.96,2513150
HPG,20190327,24.54,24.89,24.35,24.88,2539450
HPG,20190326,24.30,24.42,24.07,24.31,3515960
HPG,20190325,23.93,24.35,23.93,24.15,3736290
HPG,20190322,24.70,24.77,24.50,24.58,4192750
HPG,20190321,24.85,24.97,24.58,24.62,2737980
HPG,20190320,24.23,25.08,24.23,24.85,5625190
HPG,20190319,24.46,24.58,23.92,24.54,7385900
HPG,20190318,24.23,24.92,23.50,24.50,10578940
HPG,20190315,25.39,25.46,24.50,24.54,17029640
HPG,20190314,26.42,26.65,26.07,26.31,4482230
HPG,20190313,26.16,26.42,26.08,26.42,3200950
HPG,20190312,26.23,26.27,25.92,26.04,5262570
HPG,20190311,26.31,26.31,25.85,26.00,4858680
HPG,20190308,25.77,26.38,25.69,26.12,4654840
HPG,20190307,26.92,26.96,26.23,26.23,4555440
HPG,20190306,26.92,27.08,26.46,26.92,3373240
HPG,20190305,27.00,27.38,26.88,26.96,5704900
HPG,20190304,26.73,27.20,26.70,27.19,5020420
HPG,20190301,25.85,26.35,25.85,26.35,4610790
HPG,20190228,26.58,26.61,25.84,25.85,6952800
HPG,20190227,26.89,26.89,26.27,26.46,4999180
HPG,20190226,26.77,27.23,26.35,26.54,7383610
HPG,20190225,26.50,27.35,26.31,26.77,11781980
HPG,20190222,25.11,26.11,25.03,26.08,8269150
HPG,20190221,24.85,25.15,24.54,25.15,6010110
HPG,20190220,24.38,24.84,24.34,24.77,5878290
HPG,20190219,24.96,25.00,24.35,24.38,5904440
HPG,20190218,24.69,25.04,24.58,24.73,6374370
HPG,20190215,23.85,25.00,23.70,24.31,9326200
HPG,20190214,23.77,24.08,23.69,23.85,6455840
HPG,20190213,22.69,23.92,22.69,23.77,11079510
HPG,20190212,22.23,22.96,22.11,22.69,7952400
HPG,20190211,21.27,22.23,21.23,22.23,2836470
HPG,20190201,21.43,21.69,20.77,21.00,7100180
HPG,20190131,22.31,22.43,21.23,21.31,7171640
HPG,20190130,22.77,22.77,22.20,22.31,6765640
HPG,20190129,22.96,22.96,22.69,22.85,1814550
HPG,20190128,22.93,22.93,22.77,22.88,1711540
HPG,20190125,23.08,23.15,22.73,22.85,1609890
HPG,20190124,23.16,23.39,22.97,22.96,2387030
HPG,20190123,22.61,23.38,22.57,23.12,3788700
HPG,20190122,22.85,22.96,22.65,22.69,1665310
HPG,20190121,22.54,22.88,22.46,22.73,1917140
HPG,20190118,22.54,22.65,22.42,22.46,2120620
HPG,20190117,22.65,22.65,22.23,22.23,1957850
HPG,20190116,22.62,22.81,22.42,22.65,2981480
HPG,20190115,22.54,22.77,22.42,22.54,2640430
HPG,20190114,22.62,22.66,22.20,22.54,3226780
HPG,20190111,22.92,23.00,22.57,22.58,2659370
HPG,20190110,22.77,23.15,22.69,22.92,1783870
HPG,20190109,22.31,22.92,22.31,22.69,1876020
