<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MBB,20190702,21.15,21.30,21.00,21.15,2059740
MBB,20190701,21.15,21.20,20.95,21.15,2287500
MBB,20190628,20.90,20.90,20.40,20.90,2436860
MBB,20190627,20.85,21.00,20.60,20.60,2134180
MBB,20190626,20.85,21.20,20.85,20.85,2787110
MBB,20190625,21.25,21.30,21.05,21.10,1327160
MBB,20190624,21.30,21.35,21.20,21.30,1509130
MBB,20190621,21.30,21.45,21.20,21.30,2152330
MBB,20190620,20.65,21.30,20.65,21.30,2947050
MBB,20190619,20.65,20.80,20.60,20.65,1271670
MBB,20190618,20.70,20.75,20.60,20.60,736810
MBB,20190617,20.80,20.85,20.65,20.70,1361110
MBB,20190614,20.60,20.95,20.55,20.70,1524350
MBB,20190613,20.50,20.65,20.40,20.60,866620
MBB,20190612,20.65,20.75,20.60,20.60,875510
MBB,20190611,20.60,20.75,20.60,20.70,1066350
MBB,20190610,20.80,20.85,20.50,20.60,1591790
MBB,20190607,20.35,20.55,20.35,20.55,1054870
MBB,20190606,20.25,20.50,20.10,20.20,1801840
MBB,20190605,20.50,20.60,20.25,20.25,1775340
MBB,20190604,20.45,20.50,20.30,20.35,1469890
MBB,20190603,20.70,20.80,20.35,20.35,2176820
MBB,20190531,21.10,21.20,20.85,20.85,2357400
MBB,20190530,21.10,21.35,21.10,21.15,1292040
MBB,20190529,21.35,21.35,21.15,21.20,1497840
MBB,20190528,21.30,21.40,21.20,21.35,1653300
MBB,20190527,21.35,21.40,21.25,21.30,1485860
MBB,20190524,21.65,21.70,21.35,21.35,2667900
MBB,20190523,21.50,21.75,21.50,21.65,1844140
MBB,20190522,21.30,21.85,21.25,21.55,4816550
MBB,20190521,21.20,21.40,21.15,21.30,2361180
MBB,20190520,21.05,21.35,21.05,21.15,2578400
MBB,20190517,21.30,21.40,21.10,21.20,1490020
MBB,20190516,21.50,21.50,21.30,21.30,1557280
MBB,20190515,21.25,21.60,21.25,21.45,2589070
MBB,20190514,21.00,21.30,21.00,21.30,1522450
MBB,20190513,20.95,21.35,20.85,21.25,2834730
MBB,20190510,21.00,21.20,20.80,20.90,3157000
MBB,20190509,21.30,21.45,20.80,21.00,4125520
MBB,20190508,21.10,21.45,21.10,21.30,2565890
MBB,20190507,21.65,21.70,21.45,21.45,1289310
MBB,20190506,21.75,21.80,21.35,21.50,3476990
MBB,20190503,21.90,22.15,21.70,22.10,3621700
MBB,20190502,21.85,22.10,21.80,21.90,2927500
MBB,20190426,21.50,21.80,21.40,21.80,2171040
MBB,20190425,21.50,21.60,21.40,21.50,1119690
MBB,20190424,21.35,21.50,21.30,21.50,1572500
MBB,20190423,21.30,21.45,21.20,21.30,2007220
MBB,20190422,21.65,21.65,21.15,21.40,2986120
MBB,20190419,21.60,21.70,21.45,21.60,1796860
MBB,20190418,21.50,21.85,21.40,21.55,3913100
MBB,20190417,21.65,21.75,21.50,21.50,2736060
MBB,20190416,21.35,21.70,21.35,21.50,2831820
MBB,20190412,22.10,22.10,21.85,21.90,1062400
MBB,20190411,21.95,22.05,21.85,22.00,1402860
MBB,20190410,22.05,22.20,21.90,21.95,2369220
MBB,20190409,22.40,22.45,22.10,22.25,2979710
MBB,20190408,22.15,22.35,22.05,22.35,3341370
MBB,20190405,22.35,22.40,22.15,22.15,2881150
MBB,20190404,22.00,22.14,21.95,22.05,3205590
MBB,20190403,21.76,21.96,21.76,21.90,3310860
MBB,20190402,21.96,22.00,21.76,21.86,3130520
MBB,20190401,21.86,21.96,21.71,21.81,1776460
MBB,20190329,21.86,21.96,21.76,21.81,2490290
MBB,20190328,21.71,21.91,21.71,21.81,1745830
MBB,20190327,21.61,22.00,21.61,21.81,2467890
MBB,20190326,21.71,21.90,21.56,21.56,4295110
MBB,20190325,21.80,21.95,21.46,21.56,6612290
MBB,20190322,22.35,22.49,22.15,22.29,4103480
MBB,20190321,22.49,22.68,22.19,22.20,7803030
MBB,20190320,22.15,22.34,21.90,22.34,7979570
MBB,20190319,22.25,22.44,22.00,22.05,6440360
MBB,20190318,22.00,22.19,21.90,22.15,4746380
MBB,20190315,21.90,22.09,21.75,21.90,3224510
MBB,20190314,22.10,22.19,21.90,21.90,3449490
MBB,20190313,22.00,22.19,21.90,22.00,6024410
MBB,20190312,21.37,22.00,21.12,21.95,6797420
MBB,20190311,21.37,21.37,21.17,21.22,1529570
MBB,20190308,21.42,21.51,21.22,21.27,3277410
MBB,20190307,21.56,21.71,21.51,21.61,3164810
MBB,20190306,21.56,21.71,21.41,21.56,2290120
MBB,20190305,21.46,21.80,21.46,21.56,4786880
MBB,20190304,21.22,21.56,21.17,21.56,3669110
MBB,20190301,21.08,21.27,20.98,21.22,2610160
MBB,20190228,21.42,21.47,20.93,20.93,5837530
MBB,20190227,21.47,21.62,21.42,21.47,11767870
MBB,20190226,21.86,21.86,21.47,21.47,6790020
MBB,20190225,22.00,22.19,21.85,21.86,4963740
MBB,20190222,21.51,22.29,21.41,21.90,7449760
MBB,20190221,21.42,21.52,21.37,21.51,7998970
MBB,20190220,21.22,21.47,21.22,21.47,9694170
MBB,20190219,21.51,21.51,21.32,21.37,13646940
MBB,20190218,21.52,21.62,21.47,21.51,6665490
MBB,20190215,21.51,21.56,21.41,21.47,4795580
MBB,20190214,21.42,21.52,21.37,21.51,5052420
MBB,20190213,21.42,21.52,21.37,21.42,7793680
MBB,20190212,21.57,21.57,21.13,21.42,8163220
MBB,20190211,21.37,21.51,21.32,21.47,4238890
MBB,20190201,21.22,21.37,21.13,21.27,3947520
MBB,20190131,21.41,21.56,21.27,21.32,7340190
MBB,20190130,20.74,21.28,20.64,21.22,6716410
MBB,20190129,20.44,20.78,20.25,20.74,3966560
MBB,20190128,20.54,20.64,20.40,20.49,2873640
MBB,20190125,20.64,20.74,20.49,20.59,3310930
MBB,20190124,20.20,20.64,20.15,20.64,4912140
MBB,20190123,20.00,20.24,19.95,20.15,2458540
MBB,20190122,20.44,20.49,20.05,20.05,5700760
MBB,20190121,19.96,20.54,19.77,20.44,9970870
MBB,20190118,19.33,19.38,19.08,19.23,3041270
MBB,20190117,18.93,19.47,18.93,19.23,6675580
MBB,20190116,19.08,19.22,18.83,18.93,2505890
MBB,20190115,18.50,19.13,18.50,18.98,5908240
MBB,20190114,18.64,18.79,18.40,18.50,4754200
