<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NVL,20190702,60.70,60.90,60.00,60.20,436450
NVL,20190701,60.70,61.50,59.70,60.70,606940
NVL,20190628,59.60,59.70,58.50,59.60,587910
NVL,20190627,59.50,60.20,59.00,59.50,524560
NVL,20190626,59.90,60.00,58.10,59.90,538680
NVL,20190625,57.90,59.20,57.10,58.50,425910
NVL,20190624,57.00,58.00,57.00,57.90,446590
NVL,20190621,57.00,57.90,55.70,57.00,1265270
NVL,20190620,57.40,58.20,57.20,57.60,437220
NVL,20190619,57.40,57.60,56.90,57.40,374040
NVL,20190618,57.80,58.00,56.70,56.80,514910
NVL,20190617,59.20,59.50,57.50,57.80,596190
NVL,20190614,59.00,59.50,59.00,59.40,553300
NVL,20190613,59.50,60.10,58.80,59.00,546740
NVL,20190612,60.50,60.80,59.90,59.90,466730
NVL,20190611,60.70,61.00,60.40,60.50,621730
NVL,20190610,60.90,61.50,59.60,60.70,642850
NVL,20190607,60.40,61.20,60.30,60.70,579760
NVL,20190606,60.00,60.70,59.10,60.30,561760
NVL,20190605,60.40,60.90,60.10,60.50,465920
NVL,20190604,59.80,60.40,59.00,60.20,601300
NVL,20190603,60.00,60.80,59.70,60.00,695210
NVL,20190531,60.50,60.80,60.10,60.20,854450
NVL,20190530,59.00,60.40,58.90,60.10,709510
NVL,20190529,58.50,59.10,58.20,59.10,504600
NVL,20190528,58.30,58.70,57.90,58.50,462070
NVL,20190527,58.20,58.60,58.20,58.30,436640
NVL,20190524,58.20,59.30,57.80,58.20,420410
NVL,20190523,57.70,58.30,57.40,58.20,359960
NVL,20190522,57.70,59.20,57.70,57.70,390180
NVL,20190521,59.70,59.70,59.00,59.00,403610
NVL,20190520,58.60,59.70,58.60,59.40,531930
NVL,20190517,58.50,58.80,58.50,58.50,432960
NVL,20190516,58.50,58.90,58.50,58.50,554790
NVL,20190515,58.40,58.60,58.10,58.50,426210
NVL,20190514,58.00,58.40,57.80,58.30,394650
NVL,20190513,58.40,58.40,57.80,58.20,422530
NVL,20190510,57.70,58.60,57.70,58.40,424240
NVL,20190509,57.30,58.00,57.20,57.70,303290
NVL,20190508,56.80,57.50,56.50,57.40,381130
NVL,20190507,58.00,58.50,56.80,57.00,489700
NVL,20190506,59.40,59.40,57.90,58.10,423290
NVL,20190503,58.50,59.50,58.10,59.50,542070
NVL,20190502,59.20,59.20,57.90,58.50,369380
NVL,20190426,58.00,59.30,58.00,59.10,616910
NVL,20190425,58.40,58.50,57.50,58.20,310850
NVL,20190424,58.50,59.00,58.10,58.40,373240
NVL,20190423,57.40,58.50,57.20,58.10,441410
NVL,20190422,57.50,57.70,57.00,57.30,401150
NVL,20190419,56.50,57.20,56.50,57.20,327400
NVL,20190418,56.00,56.90,55.50,56.40,438370
NVL,20190417,55.90,56.70,55.70,56.20,405960
NVL,20190416,55.50,56.10,55.00,55.90,393490
NVL,20190412,56.70,57.00,56.00,56.00,457630
NVL,20190411,56.70,57.00,56.60,56.70,351620
NVL,20190410,56.50,57.10,56.20,56.60,375930
NVL,20190409,57.20,57.40,56.50,56.60,339610
NVL,20190408,57.20,57.50,57.00,57.10,421280
NVL,20190405,56.50,57.20,56.50,56.90,303290
NVL,20190404,56.50,56.90,56.30,56.30,430400
NVL,20190403,55.40,56.80,55.40,56.20,420450
NVL,20190402,55.70,56.00,55.30,55.80,465220
NVL,20190401,56.00,56.60,55.20,55.50,752930
NVL,20190329,56.30,57.00,55.60,55.80,972430
NVL,20190328,56.90,57.60,56.20,56.20,534170
NVL,20190327,57.00,57.40,56.60,56.80,417910
NVL,20190326,56.40,57.10,56.40,56.60,530190
NVL,20190325,56.00,57.00,56.00,56.40,522710
NVL,20190322,57.20,57.90,56.90,57.40,409030
NVL,20190321,58.00,58.80,57.00,57.00,493820
NVL,20190320,58.50,59.20,58.30,58.30,434440
NVL,20190319,59.30,59.50,58.20,58.40,413930
NVL,20190318,60.20,61.00,59.00,59.20,428600
NVL,20190315,62.00,62.60,59.90,62.20,2531220
NVL,20190314,61.00,62.10,60.50,61.90,394680
NVL,20190313,62.50,62.80,61.00,61.20,359170
NVL,20190312,60.20,62.50,60.20,62.50,1139030
NVL,20190311,58.00,60.60,58.00,60.10,662430
NVL,20190308,57.00,58.70,57.00,57.50,445530
NVL,20190307,57.00,57.90,57.00,57.40,472630
NVL,20190306,58.80,58.80,56.60,57.00,880920
NVL,20190305,59.30,59.70,58.50,58.80,536160
NVL,20190304,59.20,60.00,58.60,59.50,500190
NVL,20190301,57.10,58.50,57.10,58.40,186170
NVL,20190228,60.00,60.70,57.50,57.50,1361480
NVL,20190227,59.40,60.50,59.40,59.60,652490
NVL,20190226,60.50,61.20,59.40,59.40,443700
NVL,20190225,58.50,61.30,58.50,59.80,735710
NVL,20190222,58.40,59.10,58.00,58.40,592190
NVL,20190221,58.10,58.30,57.80,58.30,720560
NVL,20190220,57.80,58.20,57.80,58.10,424150
NVL,20190219,57.90,58.20,57.80,58.00,634820
NVL,20190218,57.50,58.20,57.50,57.90,583930
