<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNJ,20190627,72.90,73.20,72.00,72.00,264660
PNJ,20190626,72.80,73.20,72.50,72.80,243340
PNJ,20190625,73.70,73.80,72.60,72.70,357000
PNJ,20190624,74.00,74.50,73.60,73.60,259110
PNJ,20190621,74.20,75.00,73.90,74.20,334200
PNJ,20190620,72.00,74.10,72.00,73.70,594660
PNJ,20190619,71.80,72.50,71.60,71.80,258360
PNJ,20190618,72.20,73.00,71.00,71.50,461990
PNJ,20190617,74.20,74.50,72.20,72.20,476780
PNJ,20190614,74.70,75.60,74.10,74.20,303500
PNJ,20190613,76.20,76.30,74.70,74.70,529700
PNJ,20190612,78.00,78.50,76.70,76.70,847940
PNJ,20190611,78.80,79.30,78.30,78.90,432400
PNJ,20190610,79.40,79.60,78.60,78.80,350190
PNJ,20190607,77.40,78.80,77.10,78.80,347690
PNJ,20190606,77.70,77.70,76.20,77.00,302820
PNJ,20190605,77.50,78.40,77.00,77.00,500760
PNJ,20190604,75.52,76.64,75.52,75.60,486050
PNJ,20190603,76.88,77.18,75.30,75.52,602080
PNJ,20190531,79.42,79.57,77.25,77.25,787930
PNJ,20190530,79.94,80.54,79.57,79.57,329610
PNJ,20190529,81.36,81.36,79.42,79.94,391420
PNJ,20190528,79.79,81.59,79.79,81.14,429790
PNJ,20190527,79.79,80.84,79.42,79.42,512340
PNJ,20190524,81.37,82.64,80.54,80.54,586190
PNJ,20190523,80.54,82.04,79.65,82.04,670520
PNJ,20190522,79.72,81.67,79.72,80.47,635850
PNJ,20190521,80.91,80.98,79.41,79.72,450470
PNJ,20190520,76.95,80.76,76.50,80.76,1263740
PNJ,20190517,77.02,77.02,76.50,76.65,245590
PNJ,20190516,77.10,77.47,76.95,76.95,361760
PNJ,20190515,75.52,76.87,75.45,76.65,1053400
PNJ,20190514,75.45,75.90,75.16,75.45,249390
PNJ,20190513,75.16,75.38,75.01,75.38,159350
PNJ,20190510,75.15,75.53,74.48,75.16,183020
PNJ,20190509,75.23,75.75,74.41,74.63,355930
PNJ,20190508,74.93,75.98,74.93,75.53,200610
PNJ,20190507,76.27,76.35,75.45,75.98,169030
PNJ,20190506,75.75,76.28,74.78,76.20,432670
PNJ,20190503,77.02,77.92,76.72,76.80,369240
PNJ,20190502,75.01,77.03,74.93,77.02,610080
PNJ,20190426,74.26,74.93,74.04,74.86,194500
PNJ,20190425,74.63,74.78,74.11,74.26,70420
PNJ,20190424,74.93,74.93,74.48,74.78,124360
PNJ,20190423,73.66,74.78,73.66,74.63,317750
PNJ,20190422,73.28,73.66,72.61,73.66,380410
PNJ,20190419,72.76,73.66,72.76,73.06,142320
PNJ,20190418,74.18,74.18,72.76,72.76,195450
PNJ,20190417,73.88,74.93,73.81,74.18,244000
PNJ,20190416,74.18,74.33,73.66,73.81,261580
PNJ,20190412,74.33,74.78,74.33,74.48,110800
PNJ,20190411,75.46,75.46,74.71,74.93,51790
PNJ,20190410,75.53,75.83,74.63,74.71,255050
PNJ,20190409,76.20,77.54,75.97,75.98,630570
PNJ,20190408,75.53,75.83,74.94,75.75,228910
PNJ,20190405,76.20,76.20,75.16,75.16,253480
PNJ,20190404,74.25,75.53,73.66,75.53,508480
PNJ,20190403,74.78,74.78,73.96,74.03,161530
PNJ,20190402,75.46,75.46,74.19,74.56,114830
PNJ,20190401,74.41,75.16,74.19,75.01,198660
