<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
REE,20190702,32.20,32.30,31.85,32.20,405850
REE,20190701,32.00,32.40,31.90,32.00,597430
REE,20190628,31.75,31.90,31.30,31.75,504740
REE,20190627,32.10,32.25,31.65,31.65,893080
REE,20190626,32.00,32.15,31.65,32.00,558950
REE,20190625,32.15,32.20,31.60,31.75,717820
REE,20190624,32.25,32.30,32.05,32.15,297670
REE,20190621,32.25,32.50,32.15,32.25,275170
REE,20190620,31.85,32.20,31.85,32.15,485980
REE,20190619,31.85,32.30,31.70,31.85,226010
REE,20190618,31.60,31.70,31.45,31.60,352710
REE,20190617,31.85,31.95,31.55,31.55,457020
REE,20190614,32.00,32.30,31.85,31.85,309300
REE,20190613,32.05,32.35,32.05,32.05,208770
REE,20190612,32.75,32.75,32.20,32.20,370420
REE,20190611,32.35,32.90,32.35,32.70,588730
REE,20190610,32.30,32.75,32.00,32.35,503080
REE,20190607,32.00,32.60,32.00,32.60,392280
REE,20190606,32.00,32.20,31.80,32.00,322640
REE,20190605,32.10,32.30,31.95,32.00,282040
REE,20190604,31.50,31.95,31.40,31.95,486840
REE,20190603,32.40,32.40,31.50,31.50,481480
REE,20190531,32.95,33.00,32.50,32.50,375710
REE,20190530,32.50,33.20,32.40,33.00,538060
REE,20190529,32.30,32.70,32.30,32.55,252940
REE,20190528,32.60,32.75,32.30,32.45,395680
REE,20190527,32.50,32.95,32.50,32.60,204240
REE,20190524,33.05,33.30,32.80,32.90,384580
REE,20190523,32.90,33.10,32.75,33.05,287220
REE,20190522,33.25,33.35,32.95,32.95,375350
REE,20190521,33.65,33.75,33.35,33.35,443380
REE,20190520,32.95,33.60,32.80,33.55,989540
REE,20190517,32.90,32.90,32.70,32.80,369150
REE,20190516,33.00,33.20,32.80,32.90,555750
REE,20190515,33.20,33.30,32.95,33.00,583030
REE,20190514,32.30,32.95,32.20,32.95,783170
REE,20190513,32.30,32.65,32.00,32.50,640250
REE,20190510,32.00,32.25,31.80,32.10,502460
REE,20190509,31.60,31.90,31.60,31.90,591880
REE,20190508,30.75,32.00,30.75,31.60,763330
REE,20190507,31.20,31.30,30.95,30.95,300540
REE,20190506,31.50,31.50,30.95,31.00,652890
REE,20190503,32.00,32.15,31.70,31.95,301800
REE,20190502,31.85,32.35,31.85,32.00,380450
REE,20190426,31.35,31.80,31.35,31.80,316520
REE,20190425,31.20,31.70,31.20,31.50,252150
REE,20190424,31.00,31.40,31.00,31.35,192320
REE,20190423,31.00,31.20,31.00,31.00,430200
REE,20190422,31.40,31.50,30.90,31.00,347800
REE,20190419,31.45,31.50,31.30,31.40,128450
REE,20190418,31.70,31.70,31.15,31.35,314290
REE,20190417,31.70,31.90,31.60,31.65,204220
REE,20190416,31.60,31.70,31.40,31.65,225840
REE,20190412,31.80,31.80,31.70,31.80,205070
REE,20190411,31.95,31.95,31.75,31.80,177900
REE,20190410,32.10,32.10,31.75,31.80,401450
REE,20190409,32.55,32.70,32.30,32.30,530100
REE,20190408,32.35,32.65,32.20,32.55,677930
REE,20190405,31.85,32.55,31.80,32.35,832890
REE,20190404,31.55,31.75,31.50,31.75,324540
REE,20190403,31.80,31.80,31.50,31.55,374760
REE,20190402,31.70,31.95,31.65,31.80,332710
REE,20190401,32.00,32.00,31.55,31.60,236540
REE,20190329,32.00,32.50,31.80,31.85,365930
REE,20190328,31.60,32.15,31.60,32.00,433760
REE,20190327,31.75,32.10,31.65,31.70,245150
REE,20190326,31.80,32.05,31.50,31.55,358270
REE,20190325,32.00,32.20,31.50,31.55,829670
REE,20190322,32.75,33.00,32.40,32.75,353080
REE,20190321,33.70,33.70,32.50,32.50,458750
REE,20190320,32.70,33.60,32.50,33.40,700270
REE,20190319,33.40,33.60,32.80,32.80,833590
REE,20190318,33.90,34.00,33.35,33.40,1406690
REE,20190315,34.50,34.50,33.70,34.00,902290
REE,20190314,34.50,34.70,34.35,34.50,566810
REE,20190313,34.70,35.30,34.30,34.50,750710
REE,20190312,33.80,34.90,33.65,34.70,1362920
REE,20190311,33.90,33.90,33.40,33.60,427910
REE,20190308,33.80,34.00,33.10,33.90,460330
REE,20190307,34.60,34.65,34.00,34.05,513370
REE,20190306,33.90,34.90,33.90,34.50,1271520
REE,20190305,33.10,33.95,32.80,33.75,809130
REE,20190304,33.05,33.45,33.00,33.10,854640
REE,20190301,33.20,33.35,33.05,33.05,690950
REE,20190228,34.00,34.00,33.05,33.05,938110
REE,20190227,34.40,34.40,34.00,34.00,317890
REE,20190226,34.30,34.50,33.90,34.10,850060
REE,20190225,33.84,33.94,33.56,33.80,918150
REE,20190222,33.47,33.80,33.32,33.70,703850
REE,20190221,33.70,33.94,33.56,33.75,528250
REE,20190220,33.46,33.70,33.18,33.61,513100
REE,20190219,34.18,34.27,33.51,33.70,1142710
REE,20190218,33.41,34.17,33.41,34.13,836520
REE,20190215,33.22,33.51,32.85,33.32,688390
REE,20190214,33.18,33.23,32.85,33.13,424900
REE,20190213,33.33,33.47,33.14,33.18,698550
REE,20190212,33.23,33.61,33.09,33.09,602640
REE,20190211,32.37,32.84,32.04,32.85,355610
REE,20190201,31.99,32.27,31.61,31.99,1100000
REE,20190131,32.18,32.28,31.90,31.99,287700
REE,20190130,32.18,32.56,31.99,32.04,984640
REE,20190129,31.19,31.33,30.81,31.33,317940
REE,20190128,31.19,31.43,31.05,31.24,246170
REE,20190125,31.24,31.67,31.24,31.24,577380
REE,20190124,31.00,31.28,30.57,31.24,405190
REE,20190123,30.76,30.90,30.38,30.76,219940
REE,20190122,30.96,31.05,30.58,30.76,221760
REE,20190121,30.48,31.14,30.39,31.05,280480
REE,20190118,30.00,30.85,29.95,30.48,377760
REE,20190117,30.19,30.29,29.96,29.95,147070
REE,20190116,30.48,30.67,30.20,30.24,193270
REE,20190115,29.81,30.48,29.63,30.48,314660
REE,20190114,30.00,30.00,29.67,29.72,250710
REE,20190111,29.91,30.00,29.62,29.91,299510
REE,20190110,29.14,29.95,29.05,29.53,433130
REE,20190109,28.91,29.14,28.67,29.05,248000
REE,20190108,28.67,28.91,28.48,28.48,191810
REE,20190107,28.86,29.00,28.67,28.67,158080
REE,20190104,28.39,28.67,27.96,28.29,179540
REE,20190103,29.10,29.19,28.39,28.48,588400
REE,20190102,29.52,29.52,29.10,29.10,329830
REE,20181228,29.43,29.43,29.20,29.24,158090
REE,20181227,29.81,29.81,29.34,29.34,144630
REE,20181226,29.05,29.29,28.96,29.15,176230
REE,20181225,29.06,29.34,28.72,29.05,434520
REE,20181224,30.10,30.10,29.72,29.72,171270
REE,20181221,30.19,30.19,30.00,30.05,120540
REE,20181220,30.14,30.47,30.09,30.14,82820
REE,20181219,30.05,30.33,29.91,30.33,149180
REE,20181218,29.81,30.24,29.72,30.24,233790
REE,20181217,30.57,30.62,29.91,30.05,264740
REE,20181214,31.38,31.38,30.72,30.76,268900
REE,20181213,31.33,31.61,31.19,31.19,165420
REE,20181212,31.33,31.52,31.24,31.33,265120
REE,20181211,31.33,31.57,31.05,31.05,165760
REE,20181210,31.52,31.66,31.33,31.38,134130
REE,20181207,31.66,32.19,31.43,31.66,364300
REE,20181206,31.71,31.71,31.24,31.57,177140
REE,20181205,31.33,31.71,31.19,31.71,310000
REE,20181204,31.80,31.80,31.33,31.66,384370
REE,20181203,30.85,31.47,30.66,31.47,468810
REE,20181130,30.43,30.71,30.19,30.19,228560
REE,20181129,30.71,31.14,30.71,30.76,237230
REE,20181128,30.47,30.71,30.47,30.71,129820
REE,20181127,30.95,31.33,30.20,30.71,256600
REE,20181126,30.77,31.05,30.62,30.86,171170
REE,20181123,30.86,31.43,30.62,31.05,359450
REE,20181122,31.14,31.14,30.67,30.86,300910
REE,20181121,29.38,30.95,29.33,30.95,684200
REE,20181120,29.58,29.77,29.34,29.57,247550
REE,20181119,29.81,29.91,29.67,29.72,114460
REE,20181116,29.43,29.58,29.24,29.53,145020
REE,20181115,28.96,29.20,28.82,29.15,210480
REE,20181114,29.43,29.47,28.86,28.96,284660
REE,20181113,29.10,29.52,29.10,29.38,174500
REE,20181112,29.48,29.71,29.24,29.57,188250
REE,20181109,29.91,30.19,29.62,29.62,221360
REE,20181108,30.24,30.29,30.05,30.05,302760
REE,20181107,30.00,30.19,29.72,29.72,355020
REE,20181106,30.38,30.47,30.00,30.00,211450
REE,20181105,30.38,30.38,30.00,30.38,191900
