<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ROS,20190627,29.65,29.95,29.65,29.90,10637670
ROS,20190626,29.95,29.95,29.60,29.95,13856690
ROS,20190625,29.60,30.05,29.55,30.00,10030980
ROS,20190624,29.95,30.00,29.55,30.00,11558790
ROS,20190621,30.00,30.30,29.65,30.00,12855180
ROS,20190620,30.10,30.30,29.60,30.30,12179480
ROS,20190619,30.25,30.25,29.65,30.25,12560070
ROS,20190618,29.60,30.40,29.50,30.40,12514880
ROS,20190617,30.50,30.50,29.75,30.15,10486500
ROS,20190614,30.10,30.70,29.55,30.70,10689760
ROS,20190613,29.55,30.10,29.50,30.10,10737350
ROS,20190612,30.65,30.65,29.80,30.10,12005090
ROS,20190611,30.30,30.70,30.15,30.65,8561560
ROS,20190610,30.00,31.00,29.50,31.00,8810460
ROS,20190607,29.65,30.00,29.50,30.00,10815600
ROS,20190606,30.00,30.05,29.50,30.05,12644120
ROS,20190605,29.80,30.10,29.50,30.10,6480820
ROS,20190604,29.50,30.00,29.30,30.00,8534850
ROS,20190603,29.60,29.95,29.40,29.80,10762000
ROS,20190531,29.50,29.95,29.50,29.95,7569580
ROS,20190530,30.00,30.10,29.55,29.95,4738640
ROS,20190529,30.30,30.40,29.70,30.00,10011610
ROS,20190528,30.00,30.60,29.60,30.40,5405850
ROS,20190527,29.95,30.40,29.35,30.40,11272340
ROS,20190524,29.40,30.00,29.30,30.00,7397570
ROS,20190523,30.70,30.95,30.00,30.00,6622850
ROS,20190522,31.80,31.90,31.40,31.60,9550180
ROS,20190521,32.55,33.10,32.10,32.45,9753530
ROS,20190520,33.05,33.80,33.00,33.50,10648580
ROS,20190517,32.00,34.80,31.05,34.80,12608770
ROS,20190516,31.70,32.65,30.95,32.65,9706110
ROS,20190515,32.20,34.00,32.00,32.60,10527590
ROS,20190514,30.90,34.00,30.10,34.00,11265790
ROS,20190513,30.00,32.00,29.10,32.00,9975730
ROS,20190510,30.00,30.10,29.40,30.10,10215080
ROS,20190509,30.40,30.40,29.50,30.30,9706350
ROS,20190508,30.35,30.40,29.55,30.40,8977200
ROS,20190507,30.50,30.50,29.75,30.35,10350440
ROS,20190506,30.20,30.50,29.95,30.50,9600550
ROS,20190503,30.10,30.60,29.95,30.60,8660830
ROS,20190502,30.25,30.70,30.05,30.65,10066220
ROS,20190426,30.30,30.90,30.20,30.85,10252850
ROS,20190425,30.80,31.00,30.25,30.95,7711960
ROS,20190424,30.40,31.00,30.25,31.00,9364080
ROS,20190423,31.00,31.20,30.20,31.20,9722670
ROS,20190422,30.60,31.00,30.45,31.00,9087330
ROS,20190419,31.30,31.50,30.30,31.50,9289540
ROS,20190418,30.55,31.30,30.40,31.30,10092880
ROS,20190417,30.60,31.45,30.45,31.45,8767100
ROS,20190416,30.80,31.50,30.45,31.50,7171560
ROS,20190412,31.35,31.50,30.50,31.50,8660620
ROS,20190411,31.40,31.50,31.00,31.45,7857100
ROS,20190410,30.80,32.10,30.50,32.10,7178020
ROS,20190409,31.05,31.30,30.75,31.30,7526180
ROS,20190408,31.25,31.65,30.95,31.45,7536110
ROS,20190405,31.45,31.80,31.00,31.65,6220820
ROS,20190404,31.70,31.70,31.20,31.50,7609670
ROS,20190403,31.30,31.70,31.20,31.70,4377110
ROS,20190402,31.45,31.95,31.25,31.95,7229650
ROS,20190401,31.80,32.15,31.10,32.15,12781430
ROS,20190329,32.30,32.30,31.75,32.00,5827600
ROS,20190328,32.55,32.60,31.70,32.60,5984230
ROS,20190327,32.00,32.60,31.65,32.55,7494070
ROS,20190326,32.40,32.55,31.65,32.55,7835430
ROS,20190325,31.70,32.40,31.55,32.40,5004460
ROS,20190322,32.00,32.70,31.75,32.40,6420130
ROS,20190321,31.90,32.85,31.70,32.85,6299720
ROS,20190320,32.85,32.85,32.00,32.55,6825400
ROS,20190319,32.20,32.95,32.00,32.95,7240630
ROS,20190318,32.50,33.15,32.00,33.10,5790360
ROS,20190315,32.65,33.30,32.35,33.00,7658530
ROS,20190314,33.45,33.50,32.50,33.50,5514830
ROS,20190313,33.00,33.50,32.35,33.50,5011360
ROS,20190312,32.50,33.50,31.65,33.40,7355020
ROS,20190311,32.80,32.80,32.00,32.65,4267190
ROS,20190308,33.00,33.40,32.55,33.00,3196850
ROS,20190307,33.00,33.60,32.60,33.50,7011720
ROS,20190306,33.65,33.75,32.60,33.75,5160520
ROS,20190305,33.10,34.00,32.90,33.75,5123180
ROS,20190304,34.10,34.20,32.95,34.05,6779750
ROS,20190301,33.70,34.50,33.20,34.15,5444630
ROS,20190228,35.50,35.50,34.30,34.65,4859010
ROS,20190227,35.00,35.75,34.30,35.70,5007320
ROS,20190226,34.90,35.70,34.20,35.70,4873250
ROS,20190225,34.50,35.50,33.90,35.50,4397620
ROS,20190222,34.80,35.10,33.70,34.95,4091820
ROS,20190221,34.50,34.95,33.55,34.95,4586680
ROS,20190220,33.90,34.80,33.55,34.80,3555390
ROS,20190219,33.50,34.80,32.60,34.80,3768570
ROS,20190218,33.05,33.50,32.70,33.50,4126440
ROS,20190215,33.50,33.65,32.80,33.65,3038070
ROS,20190214,33.65,33.70,33.00,33.70,2832710
ROS,20190213,33.20,33.75,32.70,33.70,3741250
ROS,20190212,32.95,33.70,32.70,33.70,2697960
ROS,20190211,31.60,33.65,30.95,33.65,2189610
ROS,20190201,31.45,31.80,30.90,31.65,1743970
ROS,20190131,30.50,32.00,30.50,31.45,1276860
ROS,20190130,31.80,32.00,30.95,31.20,2342820
ROS,20190129,32.90,32.90,31.90,32.40,2430340
ROS,20190128,33.95,34.20,33.85,33.90,1486780
ROS,20190125,34.65,34.95,34.50,34.60,2170000
ROS,20190124,35.15,35.15,34.65,35.00,2317540
ROS,20190123,35.25,35.25,34.80,35.15,2368720
ROS,20190122,35.30,35.30,34.85,35.25,2484920
ROS,20190121,35.00,35.40,34.90,35.35,2544500
ROS,20190118,35.55,35.55,34.90,35.40,3795370
ROS,20190117,35.00,35.60,34.90,35.55,4104030
ROS,20190116,35.20,35.60,34.90,35.60,3740240
ROS,20190115,35.05,35.45,34.95,35.45,4292930
ROS,20190114,35.20,35.70,34.95,35.70,3626760
ROS,20190111,35.10,35.80,34.95,35.80,4371680
ROS,20190110,36.00,36.00,34.95,35.90,4713740
ROS,20190109,35.70,36.00,34.95,36.00,3516430
ROS,20190108,35.05,35.90,34.95,35.90,3418720
ROS,20190107,35.70,36.15,34.95,36.00,3103080
ROS,20190104,35.10,36.20,34.85,36.00,2447210
ROS,20190103,36.00,36.50,34.95,36.50,3133950
ROS,20190102,37.10,37.50,36.30,36.90,4366820
ROS,20181228,35.40,39.00,34.85,38.70,3542430
ROS,20181227,38.00,38.95,36.75,36.75,2672480
ROS,20181226,42.00,42.10,39.10,39.30,3370710
ROS,20181225,40.10,43.50,40.00,42.00,3669640
ROS,20181224,37.60,41.70,36.95,41.70,3743950
ROS,20181221,35.50,39.00,35.00,39.00,3902860
ROS,20181220,35.55,36.80,35.00,36.80,3919040
ROS,20181219,35.50,36.50,34.95,36.50,3131230
ROS,20181218,35.25,35.60,35.00,35.50,1882170
ROS,20181217,35.80,36.00,35.25,35.95,2637260
ROS,20181214,36.00,36.40,35.80,36.40,3354450
ROS,20181213,36.25,36.70,36.05,36.70,2365480
ROS,20181212,36.80,36.90,36.20,36.85,2884340
ROS,20181211,36.50,37.30,36.30,37.00,3224460
ROS,20181210,37.00,37.50,36.20,37.50,2440120
ROS,20181207,36.05,37.80,35.30,37.80,3257710
ROS,20181206,36.00,36.05,35.25,36.05,3551350
ROS,20181205,36.10,36.10,35.30,36.10,2781480
ROS,20181204,35.45,36.10,35.30,36.10,2330570
ROS,20181203,35.35,36.00,35.30,36.00,3440580
ROS,20181130,35.40,36.00,35.30,36.00,2276930
ROS,20181129,35.50,36.10,35.35,36.10,1624300
ROS,20181128,36.15,36.15,35.30,36.15,2183670
ROS,20181127,36.15,36.15,35.25,36.15,2979650
ROS,20181126,35.50,36.20,35.15,36.20,1869400
ROS,20181123,36.10,36.30,35.20,36.25,1796990
ROS,20181122,36.50,36.50,35.15,36.45,3010830
ROS,20181121,35.30,36.50,35.05,36.50,1511990
ROS,20181120,35.60,36.60,35.00,36.55,2942280
ROS,20181119,36.50,36.60,35.00,36.60,1990230
ROS,20181116,36.00,36.70,35.40,36.60,1134160
ROS,20181115,36.00,36.85,35.00,36.80,3239910
ROS,20181114,36.90,36.90,35.90,36.85,1544520
ROS,20181113,36.00,36.90,35.35,36.90,2831470
ROS,20181112,36.15,37.20,35.35,37.05,1344730
ROS,20181109,37.00,37.45,36.00,37.10,1769580
ROS,20181108,38.00,38.00,36.70,37.70,1387000
ROS,20181107,37.00,38.20,36.70,38.00,1288610
ROS,20181106,38.40,38.85,36.95,38.55,2486160
ROS,20181105,36.85,39.00,36.45,38.95,1618550
ROS,20181102,36.90,38.95,35.60,38.85,1960660
ROS,20181101,38.10,38.10,36.00,37.90,2007080
ROS,20181031,37.20,38.40,35.40,38.15,1387220
ROS,20181030,35.80,37.20,35.00,37.20,1215870
