<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAB,20190627,280.20,282.00,272.00,272.00,39120
SAB,20190626,282.00,285.00,276.00,282.00,15730
SAB,20190625,281.00,281.80,278.00,281.80,39550
SAB,20190624,278.00,281.00,278.00,281.00,16480
SAB,20190621,278.00,280.90,275.00,278.00,9220
SAB,20190620,269.00,283.50,269.00,275.00,76630
SAB,20190619,275.50,275.50,271.20,275.50,19130
SAB,20190618,273.00,273.00,266.50,273.00,4510
SAB,20190617,273.00,273.00,267.00,273.00,37450
SAB,20190614,266.90,274.00,266.90,273.00,13550
SAB,20190613,274.00,274.50,271.00,274.00,12580
SAB,20190612,276.00,276.00,267.00,274.00,77400
SAB,20190611,280.00,280.00,276.00,276.00,45180
SAB,20190610,276.40,281.90,276.00,281.80,105770
SAB,20190607,274.10,276.50,269.40,276.40,40580
SAB,20190606,274.00,275.00,268.00,274.00,35900
SAB,20190605,270.10,280.00,268.50,274.00,28210
SAB,20190604,265.10,273.00,265.10,273.00,30160
SAB,20190603,263.50,274.00,257.00,270.00,98360
SAB,20190531,263.40,267.00,260.10,267.00,8830
SAB,20190530,262.00,267.00,256.00,263.50,21680
SAB,20190529,260.00,263.00,258.90,260.30,13900
SAB,20190528,265.00,265.00,260.00,260.00,28730
SAB,20190527,263.80,265.00,260.00,265.00,20920
SAB,20190524,260.10,263.90,260.10,261.20,37100
SAB,20190523,263.70,263.70,260.00,261.10,14780
SAB,20190522,263.60,263.70,260.70,263.70,24670
SAB,20190521,261.50,264.00,260.30,263.70,17760
SAB,20190520,257.00,265.00,252.00,263.00,30630
SAB,20190517,254.90,258.00,247.50,257.00,31530
SAB,20190516,254.00,254.50,245.00,245.00,20320
SAB,20190515,252.00,257.60,252.00,253.00,108360
SAB,20190514,248.00,259.00,245.10,253.00,15220
SAB,20190513,249.50,252.00,248.00,248.00,15300
SAB,20190510,247.00,249.40,243.00,248.00,23230
SAB,20190509,239.50,246.90,239.50,246.00,20630
SAB,20190508,240.00,243.00,240.00,242.20,28490
SAB,20190507,239.20,243.00,239.20,241.60,7320
SAB,20190506,243.50,243.50,238.30,240.50,20240
SAB,20190503,243.70,243.80,239.70,243.70,80940
SAB,20190502,239.20,244.00,239.20,243.70,48200
SAB,20190426,237.00,242.00,235.10,239.20,27270
SAB,20190425,240.10,240.10,236.50,239.00,43550
SAB,20190424,241.00,242.00,239.20,240.00,49760
SAB,20190423,240.00,242.00,238.50,240.50,23410
SAB,20190422,240.50,243.00,236.50,243.00,18000
SAB,20190419,243.00,243.00,237.10,240.50,8170
SAB,20190418,246.70,247.00,231.00,231.00,41150
SAB,20190417,244.10,247.50,244.10,246.80,12340
SAB,20190416,244.20,247.00,241.20,246.20,13250
SAB,20190412,247.50,248.50,244.20,244.20,5890
SAB,20190411,247.00,249.80,241.20,247.50,32940
SAB,20190410,249.00,249.00,240.10,247.00,39630
SAB,20190409,246.60,249.40,245.10,245.10,22770
SAB,20190408,249.90,249.90,248.00,249.40,2390
SAB,20190405,247.10,250.70,247.10,248.00,13040
SAB,20190404,246.90,250.80,246.10,249.80,38740
SAB,20190403,248.60,248.60,245.40,246.90,1200
SAB,20190402,251.10,251.10,246.00,246.00,21890
SAB,20190401,250.40,250.40,247.50,249.70,23050
SAB,20190329,251.90,251.90,247.00,249.70,122590
SAB,20190328,250.80,250.80,247.60,250.00,8320
SAB,20190327,250.80,251.00,247.30,250.80,12020
SAB,20190326,248.80,250.90,247.20,250.80,41590
SAB,20190325,250.00,250.00,245.00,248.80,5640
SAB,20190322,245.00,251.00,245.00,251.00,30810
SAB,20190321,250.90,251.00,245.60,249.40,17670
SAB,20190320,245.00,250.00,245.00,249.50,17820
SAB,20190319,245.10,249.50,245.10,248.00,37320
SAB,20190318,250.10,253.80,245.10,245.10,75530
SAB,20190315,255.00,255.00,247.80,253.80,40550
SAB,20190314,253.00,257.50,252.00,253.00,26120
SAB,20190313,249.30,258.00,234.90,255.00,54140
SAB,20190312,245.00,252.60,244.70,252.00,42620
SAB,20190311,245.00,246.30,241.60,245.00,20340
SAB,20190308,242.90,245.00,241.00,245.00,29050
SAB,20190307,242.00,242.90,240.50,241.10,25340
SAB,20190306,240.40,245.00,240.00,243.90,22910
SAB,20190305,244.50,244.80,240.10,243.50,10220
SAB,20190304,240.00,245.50,239.00,242.00,44090
SAB,20190301,236.30,246.00,236.30,242.00,31250
SAB,20190228,245.30,247.50,240.00,240.00,31930
SAB,20190227,248.00,248.00,246.00,247.50,7770
SAB,20190226,246.00,248.00,246.00,247.00,26360
SAB,20190225,247.00,247.80,246.00,247.80,31140
SAB,20190222,248.00,248.70,247.00,247.00,14040
SAB,20190221,244.00,248.00,244.00,248.00,24550
SAB,20190220,239.00,244.00,239.00,244.00,39420
SAB,20190219,239.00,242.20,238.00,241.00,25550
SAB,20190218,238.90,240.00,238.90,240.00,19000
SAB,20190215,239.50,239.80,237.10,238.40,48220
SAB,20190214,238.00,238.00,236.00,238.00,123270
SAB,20190213,237.80,237.90,235.20,236.10,118000
SAB,20190212,239.00,239.00,233.50,237.80,11200
SAB,20190211,234.00,234.20,231.40,233.30,42810
SAB,20190201,233.00,234.80,231.00,233.00,80480
SAB,20190131,233.00,233.50,232.10,233.00,21200
SAB,20190130,233.00,234.80,231.70,233.00,36010
SAB,20190129,234.50,234.50,231.10,233.00,18620
SAB,20190128,233.00,234.80,231.00,233.00,24370
SAB,20190125,232.00,233.90,231.10,233.00,26850
SAB,20190124,234.80,235.00,232.00,233.00,35920
SAB,20190123,233.80,234.50,232.10,233.80,16500
SAB,20190122,235.00,235.00,232.50,233.80,14570
SAB,20190121,237.20,237.20,234.50,234.50,4770
SAB,20190118,234.50,237.40,234.40,234.50,14340
SAB,20190117,238.00,240.80,234.50,234.50,41400
SAB,20190116,238.30,241.00,238.00,239.00,30300
SAB,20190115,238.00,239.90,238.00,239.60,23500
SAB,20190114,242.50,242.50,237.90,240.00,45290
SAB,20190111,240.00,240.50,236.10,240.00,38820
SAB,20190110,240.60,243.80,239.30,240.00,28560
SAB,20190109,244.00,248.00,239.00,244.00,25150
SAB,20190108,243.20,244.00,239.10,244.00,11600
SAB,20190107,243.20,248.00,241.00,244.00,12270
SAB,20190104,246.00,246.00,235.10,243.20,8540
SAB,20190103,248.80,255.00,233.20,245.50,98800
SAB,20190102,267.50,267.50,248.80,248.80,46990
SAB,20181228,250.80,267.50,246.50,267.50,46420
SAB,20181227,249.90,250.90,247.00,250.80,35850
SAB,20181226,242.90,249.00,242.90,249.00,23360
SAB,20181225,242.20,246.90,242.20,246.90,40810
SAB,20181224,240.00,248.90,240.00,246.90,43500
SAB,20181221,245.00,247.00,243.30,247.00,67740
SAB,20181220,250.00,250.00,246.50,247.00,89640
SAB,20181219,250.00,250.40,245.60,250.00,102270
SAB,20181218,250.40,250.40,246.00,250.40,45170
SAB,20181217,248.00,250.40,247.90,250.40,59460
SAB,20181214,250.30,252.80,249.10,250.40,31370
SAB,20181213,253.30,254.00,250.20,250.20,30870
SAB,20181212,249.60,255.00,249.60,253.00,49700
SAB,20181211,246.40,253.00,246.40,253.00,28960
SAB,20181210,243.00,248.90,243.00,248.00,44570
SAB,20181207,246.00,250.90,244.10,247.30,30960
SAB,20181206,245.20,247.70,242.00,247.00,15460
SAB,20181205,249.80,249.80,245.50,245.50,24420
SAB,20181204,249.00,252.00,248.00,248.00,32320
SAB,20181203,255.00,255.00,248.00,251.00,19310
SAB,20181130,249.50,251.00,246.50,250.00,55080
SAB,20181129,252.00,256.00,249.50,250.00,114710
SAB,20181128,242.00,250.00,240.30,250.00,63680
SAB,20181127,236.10,243.00,236.10,242.00,31970
SAB,20181126,240.00,240.00,238.00,238.10,21380
SAB,20181123,238.99,240.97,236.51,239.49,14130
