<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SBT,20190627,17.15,17.15,16.95,17.10,1212160
SBT,20190626,17.15,17.15,17.00,17.15,1191640
SBT,20190625,17.15,17.15,16.95,17.15,1188850
SBT,20190624,16.95,17.20,16.95,17.15,1854050
SBT,20190621,17.10,17.10,16.90,17.10,2979590
SBT,20190620,16.95,17.15,16.95,17.15,2072490
SBT,20190619,17.20,17.20,16.90,17.20,2109840
SBT,20190618,17.00,17.20,16.90,17.20,1336860
SBT,20190617,17.20,17.20,16.95,17.20,1185760
SBT,20190614,17.20,17.20,17.00,17.20,1093780
SBT,20190613,17.20,17.25,16.95,17.15,866590
SBT,20190612,17.20,17.20,16.50,17.20,1435560
SBT,20190611,17.75,17.80,16.70,16.70,955080
SBT,20190610,17.70,17.80,17.55,17.75,1448180
SBT,20190607,17.75,17.80,17.55,17.80,1021300
SBT,20190606,17.65,17.80,17.45,17.80,1043460
SBT,20190605,17.90,17.95,17.60,17.85,1153220
SBT,20190604,17.80,17.90,17.65,17.80,926500
SBT,20190603,17.80,17.95,17.75,17.80,1000490
SBT,20190531,17.80,18.05,17.80,18.05,1284090
SBT,20190530,17.80,18.00,17.60,18.00,1160200
SBT,20190529,17.90,17.95,17.80,17.80,1205330
SBT,20190528,18.05,18.05,17.80,18.00,1373440
SBT,20190527,17.70,18.05,17.70,18.05,1192130
SBT,20190524,18.00,18.00,17.70,17.90,1538500
SBT,20190523,18.20,18.20,17.90,18.00,1118670
SBT,20190522,18.20,18.25,18.00,18.20,959880
SBT,20190521,18.30,18.35,18.20,18.25,1307100
SBT,20190520,17.85,18.30,17.75,18.30,1403910
SBT,20190517,17.55,17.85,17.55,17.85,1377730
SBT,20190516,17.60,17.65,17.50,17.65,1340730
SBT,20190515,17.60,17.70,17.55,17.60,1534130
SBT,20190514,17.65,17.65,17.50,17.65,1428430
SBT,20190513,17.60,17.65,17.35,17.65,1565890
SBT,20190510,17.60,17.70,17.50,17.65,1311900
SBT,20190509,17.30,17.65,17.30,17.65,1316440
SBT,20190508,17.30,17.70,17.00,17.70,1398510
SBT,20190507,17.70,17.85,17.30,17.70,1615880
SBT,20190506,18.00,18.00,17.50,17.70,1522690
SBT,20190503,18.30,18.30,18.05,18.10,978250
SBT,20190502,18.20,18.30,18.05,18.30,1085620
SBT,20190426,18.25,18.40,18.10,18.20,1059200
SBT,20190425,18.25,18.25,18.10,18.25,701500
SBT,20190424,18.10,18.25,18.10,18.25,676480
SBT,20190423,18.00,18.40,18.00,18.10,901800
SBT,20190422,18.00,18.25,17.85,18.25,1166830
SBT,20190419,18.30,18.35,18.10,18.25,1024680
SBT,20190418,18.30,18.45,18.25,18.30,1092050
SBT,20190417,18.45,18.55,18.30,18.40,1043610
SBT,20190416,18.40,18.50,18.25,18.50,1003700
SBT,20190412,18.40,18.65,18.30,18.50,1010780
SBT,20190411,18.25,18.55,18.25,18.50,1087950
SBT,20190410,18.25,18.60,18.25,18.25,1095340
SBT,20190409,19.05,19.05,18.60,18.60,1134840
SBT,20190408,19.05,19.15,18.90,19.00,2099170
SBT,20190405,18.30,18.90,18.25,18.85,1880270
SBT,20190404,18.25,18.30,18.10,18.25,1138370
SBT,20190403,18.25,18.25,18.05,18.25,1095930
SBT,20190402,18.25,18.30,18.00,18.25,1292380
SBT,20190401,18.20,18.30,18.00,18.25,1414960
SBT,20190329,18.35,18.35,18.00,18.35,1090840
SBT,20190328,18.40,18.40,18.20,18.35,1032530
SBT,20190327,18.40,18.45,18.20,18.30,1065790
SBT,20190326,18.15,18.40,18.00,18.20,916830
SBT,20190325,18.00,18.20,17.70,18.20,1520300
SBT,20190322,18.25,18.50,17.95,18.20,1418440
SBT,20190321,18.60,18.90,18.05,18.20,1503970
SBT,20190320,18.70,18.80,18.55,18.60,1478910
SBT,20190319,18.95,19.00,18.70,18.70,1519450
SBT,20190318,19.00,19.15,18.75,18.75,1254730
SBT,20190315,18.80,19.05,18.80,19.05,2699760
SBT,20190314,19.05,19.10,18.90,18.95,1442270
SBT,20190313,19.30,19.35,19.05,19.20,1305170
SBT,20190312,19.30,19.40,19.15,19.30,1639780
SBT,20190311,19.00,19.25,18.80,19.10,1748460
SBT,20190308,18.75,19.15,18.75,18.80,1442650
SBT,20190307,19.10,19.25,18.85,18.85,1870400
SBT,20190306,19.50,19.60,18.85,19.10,2731340
SBT,20190305,19.65,19.80,19.50,19.50,1547180
SBT,20190304,19.95,20.00,19.80,19.80,1687780
SBT,20190301,19.75,19.80,19.55,19.70,930430
SBT,20190228,20.00,20.10,19.70,19.75,1631590
SBT,20190227,20.20,20.30,19.95,20.00,1273110
SBT,20190226,19.70,20.30,19.70,20.20,1304780
SBT,20190225,20.10,20.20,19.75,19.80,2262440
SBT,20190222,20.30,20.40,20.00,20.05,1567900
SBT,20190221,20.20,20.45,20.15,20.45,2007950
SBT,20190220,20.50,20.60,20.20,20.20,1820010
SBT,20190219,20.85,21.05,20.55,20.55,2503900
SBT,20190218,21.35,21.35,20.90,20.90,1866350
SBT,20190215,20.90,21.50,20.50,21.15,2159920
SBT,20190214,20.10,21.00,20.00,20.90,3968540
SBT,20190213,20.10,20.10,19.85,20.00,1435510
SBT,20190212,19.90,20.15,19.90,20.00,1154180
SBT,20190211,20.20,20.20,19.95,20.00,1043680
SBT,20190201,19.90,20.00,19.55,20.00,2009350
SBT,20190131,19.95,20.00,19.80,19.90,1087470
SBT,20190130,20.15,20.15,19.90,19.95,1208550
SBT,20190129,20.10,20.15,19.95,20.00,1194520
SBT,20190128,20.15,20.25,19.95,20.10,1040610
SBT,20190125,20.20,20.30,19.95,20.10,1233360
SBT,20190124,19.90,20.35,19.90,20.00,1224690
SBT,20190123,20.10,20.10,19.90,20.10,1164430
SBT,20190122,19.75,20.10,19.65,20.10,1748200
SBT,20190121,19.50,19.70,19.50,19.70,1300910
SBT,20190118,19.80,19.80,19.55,19.60,1093330
SBT,20190117,19.85,19.90,19.75,19.75,946060
SBT,20190116,19.85,19.95,19.70,19.85,989650
SBT,20190115,19.90,19.90,19.65,19.80,702970
SBT,20190114,20.10,20.10,19.65,19.65,1217420
SBT,20190111,19.32,19.88,19.32,19.70,2533980
SBT,20190110,19.37,19.42,19.23,19.41,1171880
SBT,20190109,19.27,19.46,19.27,19.37,1060770
SBT,20190108,19.31,19.31,19.08,19.27,687250
SBT,20190107,18.99,19.23,18.99,19.22,919980
SBT,20190104,18.85,18.99,18.47,18.99,1118400
SBT,20190103,19.27,19.50,18.84,18.94,1146760
SBT,20190102,19.42,19.75,18.90,19.41,1418170
SBT,20181228,19.89,19.89,19.56,19.75,1868720
SBT,20181227,19.84,19.89,19.56,19.89,2016260
SBT,20181226,19.32,19.56,19.18,19.56,1766920
SBT,20181225,18.94,19.55,18.70,19.56,1427520
SBT,20181224,19.08,19.36,19.03,19.27,1303630
SBT,20181221,18.48,19.08,18.48,19.08,1794320
SBT,20181220,18.38,18.66,18.34,18.57,1717490
SBT,20181219,18.62,18.71,18.34,18.43,1873050
SBT,20181218,18.89,19.13,18.48,18.62,1265240
SBT,20181217,19.08,19.36,19.08,19.08,1280870
SBT,20181214,19.78,19.83,19.18,19.17,1219200
SBT,20181213,18.89,19.78,18.89,19.55,2024710
SBT,20181212,18.80,18.80,18.57,18.80,1088790
SBT,20181211,18.81,18.85,18.43,18.71,1504430
SBT,20181210,18.66,18.89,18.66,18.76,1433600
SBT,20181207,18.62,18.90,18.62,18.66,1362730
SBT,20181206,18.43,18.94,18.43,18.57,1155280
SBT,20181205,19.08,19.08,18.43,18.43,3111090
SBT,20181204,19.55,19.69,19.22,19.22,1451720
SBT,20181203,19.73,19.92,18.94,19.55,3547050
SBT,20181130,20.10,20.15,19.54,19.64,1660670
SBT,20181129,20.48,20.52,20.01,20.01,1959930
SBT,20181128,20.29,20.48,20.29,20.43,1497810
SBT,20181127,20.15,20.61,20.10,20.43,2090450
SBT,20181126,20.10,20.19,19.96,20.10,2092200
SBT,20181123,20.01,20.15,19.96,20.10,3405000
SBT,20181122,20.20,20.25,20.11,20.10,2238590
SBT,20181121,19.97,20.34,19.97,20.20,1742380
SBT,20181120,20.01,20.29,19.96,20.20,2225170
SBT,20181119,20.10,20.24,19.73,20.15,1875550
SBT,20181116,19.55,20.11,18.43,20.10,5379080
SBT,20181115,21.13,21.27,19.69,19.69,4265090
SBT,20181114,20.75,21.17,20.75,21.13,3268000
SBT,20181113,20.94,21.04,20.76,20.80,3315500
SBT,20181112,20.47,21.17,20.47,20.99,3047050
SBT,20181109,20.43,20.99,20.43,20.80,2972000
SBT,20181108,21.04,21.18,20.76,20.76,2712950
SBT,20181107,20.15,20.94,19.96,20.90,4140480
