<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SSI,20190702,25.00,25.05,24.70,24.75,524290
SSI,20190701,25.00,25.10,24.80,25.00,952870
SSI,20190628,24.80,24.80,24.55,24.80,611860
SSI,20190627,24.70,24.80,24.50,24.60,1492290
SSI,20190626,24.80,24.95,24.75,24.80,1087470
SSI,20190625,24.75,25.00,24.75,24.85,714250
SSI,20190624,25.20,25.25,24.70,24.90,1910480
SSI,20190621,25.10,25.40,25.10,25.10,1781100
SSI,20190620,24.85,25.25,24.80,25.10,1391800
SSI,20190619,24.80,24.85,24.60,24.80,657740
SSI,20190618,24.60,24.70,24.45,24.45,913790
SSI,20190617,24.70,24.90,24.60,24.60,601620
SSI,20190614,24.80,25.05,24.80,24.80,394640
SSI,20190613,24.70,24.90,24.65,24.80,659000
SSI,20190612,25.20,25.20,24.80,24.85,534380
SSI,20190611,25.20,25.25,25.10,25.20,540470
SSI,20190610,25.15,25.35,25.10,25.20,930960
SSI,20190607,24.90,25.05,24.90,25.05,636810
SSI,20190606,24.80,24.90,24.45,24.70,1213200
SSI,20190605,25.15,25.15,24.85,24.85,855950
SSI,20190604,24.85,24.90,24.55,24.80,694920
SSI,20190603,24.70,24.85,24.55,24.75,1180930
SSI,20190531,25.10,25.20,24.85,24.85,991780
SSI,20190530,25.05,25.35,24.85,25.10,775200
SSI,20190529,25.20,25.30,24.95,25.05,846830
SSI,20190528,25.30,25.35,25.05,25.20,1306060
SSI,20190527,25.55,25.60,25.35,25.35,749890
SSI,20190524,25.90,25.95,25.45,25.55,2089530
SSI,20190523,25.70,26.05,25.70,26.05,1205860
SSI,20190522,26.00,26.25,25.95,26.05,1638520
SSI,20190521,26.20,26.30,25.95,26.05,1681390
SSI,20190520,25.75,26.15,25.65,26.10,2948390
SSI,20190517,25.55,25.90,25.50,25.70,2158380
SSI,20190516,25.75,25.90,25.55,25.55,1080440
SSI,20190515,25.30,25.90,25.10,25.75,2845830
SSI,20190514,25.00,25.15,24.85,25.05,2523900
SSI,20190513,25.10,25.25,25.00,25.20,833800
SSI,20190510,24.70,25.15,24.60,25.05,1243710
SSI,20190509,24.85,24.95,24.50,24.60,994490
SSI,20190508,24.70,25.05,24.45,24.70,1412270
SSI,20190507,25.50,25.55,24.80,24.90,2487300
SSI,20190506,25.50,25.50,24.95,25.20,2714370
SSI,20190503,25.40,25.90,25.40,25.90,1073340
SSI,20190502,25.85,26.05,25.60,25.60,949610
SSI,20190426,25.60,25.80,25.35,25.80,1668760
SSI,20190425,25.70,25.70,25.40,25.50,1250190
SSI,20190424,25.40,25.75,25.30,25.70,767360
SSI,20190423,25.20,25.35,25.05,25.15,1678660
SSI,20190422,25.70,25.95,25.00,25.20,2123060
SSI,20190419,26.35,26.40,25.95,26.00,730360
SSI,20190418,26.50,26.60,25.85,26.00,1877990
SSI,20190417,26.75,27.00,26.50,26.55,1175220
SSI,20190416,26.95,26.95,26.60,26.75,1117270
SSI,20190412,27.25,27.25,27.00,27.00,821470
SSI,20190411,27.50,27.60,27.25,27.25,644980
SSI,20190410,27.50,27.90,27.40,27.45,815830
SSI,20190409,27.90,28.05,27.80,28.00,1916970
SSI,20190408,27.55,27.80,27.50,27.80,1140070
SSI,20190405,27.30,27.55,27.30,27.50,682690
SSI,20190404,27.40,27.65,27.30,27.30,722050
SSI,20190403,27.50,27.60,27.35,27.35,504110
SSI,20190402,28.00,28.05,27.40,27.70,611580
SSI,20190401,27.40,27.80,27.25,27.70,1008960
SSI,20190329,27.30,27.35,27.05,27.20,1415600
SSI,20190328,27.10,27.20,26.95,27.05,627460
SSI,20190327,27.50,27.50,27.05,27.10,789100
SSI,20190326,27.10,27.30,26.95,27.10,658870
SSI,20190325,26.80,27.10,26.60,26.80,1384910
SSI,20190322,27.60,27.95,27.40,27.50,1225180
SSI,20190321,28.55,28.60,27.30,27.30,1717850
SSI,20190320,28.90,28.90,28.25,28.55,1405780
SSI,20190319,29.30,29.40,28.90,28.90,1181940
SSI,20190318,29.55,29.55,29.05,29.20,1496440
SSI,20190315,29.50,29.50,29.15,29.50,1536660
SSI,20190314,29.50,29.60,29.15,29.45,1134420
SSI,20190313,28.90,29.45,28.90,29.40,2652480
SSI,20190312,28.90,28.90,28.40,28.80,1009700
SSI,20190311,28.45,28.60,28.25,28.60,1189010
SSI,20190308,28.50,28.70,28.40,28.45,1704440
SSI,20190307,28.55,29.05,28.55,28.75,1901510
SSI,20190306,29.00,29.00,28.55,28.80,902140
SSI,20190305,28.80,29.10,28.50,28.80,1955980
SSI,20190304,28.30,28.95,28.30,28.90,2304530
SSI,20190301,27.90,28.20,27.90,28.20,1042520
SSI,20190228,28.20,28.50,27.75,27.90,2286310
SSI,20190227,28.50,28.60,28.25,28.25,1240270
SSI,20190226,28.30,28.70,28.15,28.50,2864370
SSI,20190225,28.50,28.80,28.45,28.60,3266350
SSI,20190222,28.00,28.30,27.70,28.25,3132140
SSI,20190221,27.55,27.90,27.50,27.90,2871900
SSI,20190220,27.25,27.60,27.25,27.50,2300940
SSI,20190219,27.10,27.65,27.10,27.25,3414120
SSI,20190218,27.15,27.25,26.95,27.10,1754600
SSI,20190215,27.00,27.15,26.75,26.85,1828720
SSI,20190214,27.10,27.30,27.05,27.10,1420580
SSI,20190213,27.25,27.50,27.15,27.20,2327970
SSI,20190212,26.90,27.50,26.80,27.15,3517680
SSI,20190211,26.30,26.90,26.20,26.90,1946520
SSI,20190201,25.90,26.20,25.90,26.10,985310
SSI,20190131,26.10,26.50,25.85,26.10,1569170
SSI,20190130,26.20,26.20,26.00,26.00,971710
SSI,20190129,26.15,26.20,25.85,26.20,1011500
SSI,20190128,26.20,26.35,25.95,26.05,1266510
SSI,20190125,25.55,26.30,25.55,26.20,2422010
SSI,20190124,25.70,25.80,25.50,25.55,1224550
SSI,20190123,25.40,25.70,25.30,25.45,1188790
SSI,20190122,25.60,25.90,25.55,25.55,1156270
SSI,20190121,25.15,25.90,25.15,25.60,1700870
SSI,20190118,25.20,25.35,24.90,25.15,1521200
SSI,20190117,25.75,25.80,25.15,25.20,1852510
SSI,20190116,26.05,26.10,25.65,25.75,1467160
SSI,20190115,25.80,26.05,25.75,26.00,995860
SSI,20190114,26.20,26.20,25.80,25.80,776770
SSI,20190111,25.70,26.30,25.70,26.15,1820470
SSI,20190110,25.70,25.95,25.55,25.55,1212750
SSI,20190109,26.00,26.10,25.70,25.75,1650530
SSI,20190108,26.15,26.15,25.65,25.70,1306960
SSI,20190107,26.80,26.80,26.05,26.05,735500
SSI,20190104,26.00,26.20,25.45,26.00,1232910
SSI,20190103,26.50,26.50,25.75,26.00,1672220
SSI,20190102,26.70,26.90,26.25,26.50,1216350
SSI,20181228,27.00,27.10,26.60,26.65,1071830
SSI,20181227,27.20,27.45,27.00,27.00,1206330
SSI,20181226,26.80,27.10,26.60,26.65,1110080
SSI,20181225,26.45,26.90,25.80,26.85,2802250
SSI,20181224,27.80,28.00,26.90,27.00,2087580
SSI,20181221,28.00,28.00,27.85,27.85,1345330
SSI,20181220,28.05,28.50,27.95,28.15,925300
SSI,20181219,28.45,28.45,27.90,28.10,1349430
SSI,20181218,27.80,28.55,27.80,28.20,1975390
SSI,20181217,29.10,29.25,28.55,28.55,1604620
SSI,20181214,29.40,29.65,29.30,29.30,1195470
SSI,20181213,29.80,30.00,29.70,29.70,1923340
SSI,20181212,29.35,29.65,29.20,29.65,947590
SSI,20181211,29.25,29.40,29.05,29.15,850740
SSI,20181210,29.30,29.50,29.25,29.25,1061320
SSI,20181207,29.50,29.90,29.50,29.65,2214580
SSI,20181206,29.40,29.60,29.30,29.40,2552240
SSI,20181205,29.10,29.60,29.00,29.50,2978510
SSI,20181204,29.50,29.75,29.25,29.45,2144650
SSI,20181203,29.10,29.65,29.00,29.65,3666920
SSI,20181130,28.25,28.50,28.15,28.50,1080940
SSI,20181129,28.50,28.75,28.25,28.30,2115370
SSI,20181128,27.95,28.20,27.75,28.20,1561150
SSI,20181127,27.95,28.20,27.80,27.95,1626230
SSI,20181126,27.70,27.95,27.70,27.80,1112650
SSI,20181123,28.65,28.65,27.90,27.90,1364180
SSI,20181122,28.90,29.00,28.55,28.65,1187210
SSI,20181121,28.00,28.90,27.90,28.90,1622010
SSI,20181120,28.15,28.45,28.15,28.40,1348260
SSI,20181119,27.90,28.50,27.90,28.50,2127510
SSI,20181116,27.80,28.00,27.50,27.70,1419440
SSI,20181115,27.80,27.90,27.35,27.60,1109230
SSI,20181114,27.85,28.20,27.35,27.80,1152590
SSI,20181113,27.50,28.15,27.50,27.85,1201380
SSI,20181112,27.50,28.30,27.30,28.30,1881680
SSI,20181109,28.50,28.60,27.80,27.80,1537960
SSI,20181108,29.00,29.00,28.65,28.65,1772080
SSI,20181107,28.60,28.75,28.05,28.50,1878310
SSI,20181106,29.10,29.20,28.60,28.60,2015480
SSI,20181105,28.40,29.10,28.30,28.90,1836910
SSI,20181102,28.25,29.00,28.10,28.80,3357100
SSI,20181101,28.75,28.80,27.95,28.00,2372190
SSI,20181031,28.00,28.80,27.85,28.65,2418880
SSI,20181030,27.50,28.15,27.15,27.50,1967410
SSI,20181029,27.50,27.55,27.10,27.40,1971190
SSI,20181026,28.35,28.50,27.55,27.55,2485300
SSI,20181025,26.50,28.20,26.50,28.00,4115970
SSI,20181024,29.00,29.35,28.30,28.30,4276680
SSI,20181023,29.50,29.80,28.55,29.00,4487910
SSI,20181022,30.50,30.70,30.00,30.00,2307270
SSI,20181019,29.90,30.50,29.70,30.15,2307550
SSI,20181018,30.50,30.80,30.30,30.40,2044470
SSI,20181017,30.90,30.95,30.60,30.80,2565980
SSI,20181016,30.40,30.50,30.00,30.35,2143320
SSI,20181015,30.95,30.95,30.15,30.30,1845760
SSI,20181012,30.10,31.10,29.45,30.95,4954220
SSI,20181011,31.20,31.90,30.35,30.35,9927880
SSI,20181010,32.70,32.80,32.00,32.60,2429860
SSI,20181009,32.55,32.80,32.45,32.65,1334060
SSI,20181008,32.40,32.85,32.15,32.55,2493570
SSI,20181005,33.00,33.30,32.60,32.60,3497780
SSI,20181004,32.70,33.30,32.50,33.30,3749870
SSI,20181003,32.21,32.35,32.01,32.35,2595250
SSI,20181002,32.05,32.44,31.96,32.06,2987970
SSI,20181001,32.50,32.60,32.11,32.20,2718800
SSI,20180928,32.69,32.78,32.49,32.50,3238680
SSI,20180927,32.20,32.79,32.01,32.59,4349150
SSI,20180926,31.91,32.40,31.91,32.01,2945320
SSI,20180925,31.97,32.31,31.82,31.96,3284420
SSI,20180924,32.25,32.35,31.96,32.16,3011110
SSI,20180921,32.01,32.20,31.67,31.91,7085490
SSI,20180920,31.23,31.81,31.18,31.62,4587420
SSI,20180919,31.23,31.43,31.04,31.28,4606830
SSI,20180918,30.07,31.04,29.88,31.04,3436290
SSI,20180917,30.85,31.09,30.36,30.36,2156240
SSI,20180914,30.85,31.43,30.85,31.14,3169020
SSI,20180913,30.99,31.24,30.75,30.85,2672170
SSI,20180912,31.47,31.52,30.75,30.75,4418180
SSI,20180911,30.17,31.23,30.17,31.23,5786190
SSI,20180910,30.37,30.66,30.32,30.36,2590800
SSI,20180907,29.97,30.55,29.92,30.56,3928320
SSI,20180906,29.82,30.07,29.68,29.97,2061300
SSI,20180905,29.59,30.02,29.29,29.97,3701410
SSI,20180904,30.36,30.65,29.73,29.78,3231530
SSI,20180831,30.89,31.28,30.65,30.65,3029690
SSI,20180830,30.70,31.28,30.46,31.28,4361960
SSI,20180829,30.56,30.99,30.31,30.94,4251020
SSI,20180828,30.08,30.95,30.03,30.75,7117300
SSI,20180827,29.58,30.31,29.48,29.93,4427800
SSI,20180824,29.63,29.78,29.10,29.29,2811160
SSI,20180823,29.34,29.77,29.19,29.63,2055630
SSI,20180822,29.97,29.97,29.29,29.29,2648670
SSI,20180821,28.28,29.69,28.28,29.68,4029440
SSI,20180820,28.81,29.00,28.23,28.28,2369080
SSI,20180817,29.40,29.49,28.81,28.81,3043490
SSI,20180816,28.91,28.95,28.18,28.91,3722080
SSI,20180815,30.07,30.17,28.91,29.10,3465340
SSI,20180814,30.37,30.46,29.98,30.07,3465660
SSI,20180813,29.20,30.55,29.05,30.56,4756890
