<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TCB,20190627,20.40,20.50,20.20,20.20,1584550
TCB,20190626,20.40,20.70,20.30,20.40,1838710
TCB,20190625,20.65,20.90,20.65,20.75,1564890
TCB,20190624,20.70,21.05,20.65,20.90,1664740
TCB,20190621,20.80,21.10,20.70,20.80,1724400
TCB,20190620,20.20,20.80,20.15,20.60,3519910
TCB,20190619,20.10,20.65,20.00,20.10,2057320
TCB,20190618,20.90,20.95,20.10,20.30,3167100
TCB,20190617,21.30,21.35,20.80,20.80,2217430
TCB,20190614,21.20,21.45,21.20,21.20,1082100
TCB,20190613,21.30,21.30,21.10,21.15,845890
TCB,20190612,21.50,21.60,21.30,21.30,672440
TCB,20190611,21.50,21.70,21.45,21.50,907130
TCB,20190610,21.80,21.90,21.30,21.50,1692190
TCB,20190607,21.35,21.60,21.35,21.60,1426730
TCB,20190606,21.30,21.50,20.90,21.35,1377350
TCB,20190605,21.60,21.80,21.30,21.30,1078360
TCB,20190604,21.75,21.80,21.10,21.20,2334950
TCB,20190603,22.40,22.50,21.50,21.50,2710010
TCB,20190531,22.95,23.00,22.60,22.60,1452700
TCB,20190530,22.75,23.05,22.50,22.95,1454130
TCB,20190529,23.05,23.10,22.75,22.75,2073420
TCB,20190528,23.10,23.40,22.90,23.10,1428370
TCB,20190527,23.20,23.35,23.10,23.15,888140
TCB,20190524,23.55,23.70,23.20,23.20,2380690
TCB,20190523,23.65,23.85,23.55,23.65,1377230
TCB,20190522,24.10,24.20,23.70,23.70,1706530
TCB,20190521,23.85,24.30,23.85,24.05,3217110
TCB,20190520,23.55,23.90,23.40,23.85,2117630
TCB,20190517,23.70,23.80,23.55,23.60,1740280
TCB,20190516,24.10,24.10,23.65,23.75,2139740
TCB,20190515,23.10,24.05,23.00,23.95,3260220
TCB,20190514,23.00,23.20,22.85,23.00,1432870
TCB,20190513,23.25,23.30,23.10,23.20,1130890
TCB,20190510,23.00,23.15,22.80,23.15,1679270
TCB,20190509,22.90,23.20,22.80,22.80,1330990
TCB,20190508,23.00,23.00,22.65,22.95,1748140
TCB,20190507,23.70,23.70,23.10,23.20,1294740
TCB,20190506,23.65,23.90,23.10,23.30,1903780
TCB,20190503,23.85,24.00,23.65,24.00,1727710
TCB,20190502,24.10,24.20,23.80,23.85,891770
TCB,20190426,24.05,24.20,24.00,24.15,898530
TCB,20190425,24.40,24.40,24.15,24.15,681910
TCB,20190424,23.70,24.35,23.70,24.35,1995110
TCB,20190423,23.60,23.85,23.55,23.60,1850200
TCB,20190422,24.20,24.30,23.65,23.75,1544290
TCB,20190419,24.50,24.50,24.20,24.20,1116030
TCB,20190418,24.75,24.80,24.25,24.25,1478350
TCB,20190417,24.75,25.05,24.65,24.75,1022100
TCB,20190416,24.65,24.75,24.40,24.55,2097030
TCB,20190412,25.00,25.10,24.85,24.90,1318580
TCB,20190411,25.05,25.20,25.00,25.10,837020
TCB,20190410,25.30,25.50,25.00,25.10,1488230
TCB,20190409,25.40,25.65,25.25,25.35,1526530
TCB,20190408,25.40,25.40,25.10,25.25,1689220
TCB,20190405,25.50,25.50,25.40,25.40,790380
TCB,20190404,25.50,25.55,25.30,25.45,1084530
TCB,20190403,25.50,25.60,25.40,25.45,883080
TCB,20190402,25.70,25.85,25.45,25.50,1197560
TCB,20190401,25.70,25.70,25.50,25.55,1213000
TCB,20190329,25.55,25.80,25.55,25.60,1656270
TCB,20190328,25.65,25.80,25.55,25.55,798820
TCB,20190327,25.70,25.80,25.45,25.75,1426910
TCB,20190326,25.60,25.90,25.40,25.50,2041810
TCB,20190325,25.50,25.90,25.45,25.60,2295560
TCB,20190322,26.15,26.30,25.95,26.10,2631920
TCB,20190321,26.75,26.75,26.10,26.10,2858380
TCB,20190320,26.75,26.75,26.40,26.60,1701020
TCB,20190319,27.05,27.20,26.70,26.75,2078600
TCB,20190318,26.95,27.25,26.80,27.05,3348820
TCB,20190315,26.90,27.20,26.75,26.85,1750100
TCB,20190314,27.20,27.25,26.90,26.90,1525640
TCB,20190313,26.90,27.55,26.90,27.15,4603520
TCB,20190312,26.60,26.80,26.25,26.80,1884510
TCB,20190311,26.50,26.50,26.25,26.30,894870
TCB,20190308,26.55,26.65,26.25,26.25,2892590
TCB,20190307,26.90,27.05,26.75,26.75,1428410
TCB,20190306,26.80,26.90,26.65,26.80,1004950
TCB,20190305,26.85,27.20,26.70,26.80,3227790
TCB,20190304,26.70,27.10,26.70,27.00,2834780
TCB,20190301,26.60,26.85,26.40,26.60,2342280
TCB,20190228,27.10,27.20,26.40,26.50,4845650
TCB,20190227,27.45,27.50,27.05,27.20,4709200
TCB,20190226,27.70,27.85,27.25,27.45,3078620
TCB,20190225,27.90,28.00,27.70,27.75,3849680
TCB,20190222,27.50,28.00,27.40,27.70,6443060
TCB,20190221,27.60,27.70,27.30,27.50,2102120
TCB,20190220,27.65,27.80,27.45,27.55,2760520
TCB,20190219,27.40,28.20,27.40,27.55,7850600
TCB,20190218,27.30,27.55,27.25,27.35,2160450
