<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190627,79.00,79.00,77.50,77.50,815110
VHM,20190626,79.00,79.60,78.70,79.00,1174210
VHM,20190625,79.80,80.10,79.50,79.50,866490
VHM,20190624,78.60,80.40,78.60,79.50,1452270
VHM,20190621,78.50,79.30,78.50,78.50,3742200
VHM,20190620,78.40,78.90,78.00,78.40,1561250
VHM,20190619,78.10,78.30,77.80,78.10,729570
VHM,20190618,77.80,78.00,76.30,78.00,1640620
VHM,20190617,79.90,79.90,77.60,78.00,458320
VHM,20190614,78.80,79.90,78.60,79.90,482820
VHM,20190613,79.50,80.00,76.60,80.00,2022580
VHM,20190612,81.50,81.50,79.50,80.00,893930
VHM,20190611,82.00,82.00,81.30,81.90,375370
VHM,20190610,83.00,83.00,81.40,82.00,596360
VHM,20190607,80.50,83.00,79.90,82.20,572380
VHM,20190606,80.50,80.80,78.90,80.30,582690
VHM,20190605,81.20,81.50,80.30,80.60,452630
VHM,20190604,80.50,81.00,78.90,80.60,557890
VHM,20190603,82.00,82.00,79.60,80.60,527220
VHM,20190531,83.20,83.20,81.00,82.00,720930
VHM,20190530,83.60,83.80,82.50,82.60,930290
VHM,20190529,84.00,84.20,83.40,83.60,921510
VHM,20190528,84.40,84.60,83.50,83.50,1436600
VHM,20190527,84.50,84.90,84.40,84.40,487560
VHM,20190524,86.70,86.70,84.50,84.50,854870
VHM,20190523,86.60,86.60,86.10,86.50,377180
VHM,20190522,86.20,87.90,86.20,86.50,702510
VHM,20190521,87.90,88.10,86.70,86.70,1056700
VHM,20190520,86.50,86.80,85.80,86.80,638340
VHM,20190517,87.00,87.00,86.30,86.70,791790
VHM,20190516,86.00,87.10,85.70,87.00,953330
VHM,20190515,85.20,86.50,85.20,86.00,1134300
VHM,20190514,84.00,86.00,84.00,85.00,1322520
VHM,20190513,83.80,85.20,83.80,85.00,691670
VHM,20190510,85.60,86.00,83.80,84.00,980260
VHM,20190509,85.00,85.60,83.60,84.50,983320
VHM,20190508,87.00,87.30,85.40,85.60,894240
VHM,20190507,89.80,89.80,87.70,87.90,576290
VHM,20190506,90.00,90.00,88.60,89.00,522550
VHM,20190503,91.80,91.80,90.40,90.40,621150
VHM,20190502,92.00,92.30,90.90,91.40,452510
VHM,20190426,90.20,92.00,89.90,92.00,1070350
VHM,20190425,89.50,90.20,89.40,90.20,680080
VHM,20190424,89.70,90.20,89.70,89.70,629420
VHM,20190423,89.70,90.00,88.90,89.00,494910
VHM,20190422,89.70,90.00,88.60,90.00,211620
VHM,20190419,89.00,90.40,89.00,89.00,258960
VHM,20190418,89.90,90.50,88.10,89.00,609680
VHM,20190417,91.00,91.90,89.70,89.80,761350
VHM,20190416,90.00,91.90,87.80,91.00,913790
VHM,20190412,93.40,93.60,92.00,93.30,299590
VHM,20190411,92.80,93.80,92.20,93.50,233360
VHM,20190410,93.80,93.80,92.30,92.50,328400
VHM,20190409,95.00,96.00,93.00,93.80,973210
VHM,20190408,93.00,94.60,92.70,94.60,657320
VHM,20190405,92.50,93.20,92.10,92.60,454260
VHM,20190404,92.70,92.80,91.30,92.00,489550
VHM,20190403,92.20,92.20,91.10,92.00,281350
VHM,20190402,93.40,93.70,92.00,92.20,359690
VHM,20190401,92.40,93.80,91.80,92.40,334480
VHM,20190329,94.00,94.30,91.50,91.50,1054060
VHM,20190328,90.30,93.30,90.00,93.10,894540
VHM,20190327,91.00,91.00,89.90,90.10,389620
VHM,20190326,90.00,90.70,89.50,89.90,617980
VHM,20190325,89.50,89.50,87.50,89.00,793070
VHM,20190322,89.00,91.20,88.00,91.10,957080
VHM,20190321,93.00,93.00,88.20,88.20,1009930
VHM,20190320,93.10,93.40,91.00,92.20,1061950
VHM,20190319,95.00,95.20,93.50,94.00,1100900
VHM,20190318,94.00,94.90,94.00,94.30,1056390
VHM,20190315,94.00,94.00,92.50,93.30,2496760
VHM,20190314,94.30,94.60,92.80,94.00,708190
VHM,20190313,92.60,96.00,92.50,94.00,1654850
VHM,20190312,91.20,92.60,90.90,92.30,864570
VHM,20190311,91.00,92.30,90.00,90.00,533740
VHM,20190308,92.00,92.90,91.40,91.50,699850
VHM,20190307,92.00,95.30,91.90,92.00,1306970
VHM,20190306,91.00,91.90,90.80,91.80,592410
VHM,20190305,92.20,92.90,90.50,91.00,1152650
VHM,20190304,92.00,93.50,89.60,93.20,910620
VHM,20190301,88.50,91.40,87.50,91.00,806340
VHM,20190228,92.10,92.30,87.50,87.50,1270190
VHM,20190227,93.00,93.30,91.50,92.70,896260
VHM,20190226,92.00,93.00,90.00,92.00,1103360
VHM,20190225,94.50,95.10,91.30,92.00,838040
VHM,20190222,95.00,96.50,92.70,93.10,950950
VHM,20190221,90.50,96.70,89.20,96.70,1209870
VHM,20190220,87.00,90.80,87.00,90.40,815580
VHM,20190219,82.50,87.70,82.50,87.00,1244300
VHM,20190218,81.50,82.00,80.80,82.00,607000
VHM,20190215,82.00,82.00,81.10,81.20,422250
VHM,20190214,80.40,82.60,80.10,81.90,971710
