<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VJC,20190702,128.50,128.70,126.90,128.50,609150
VJC,20190701,126.00,127.80,126.00,127.00,780500
VJC,20190628,128.00,128.00,124.20,128.00,977470
VJC,20190627,124.50,124.60,124.00,124.50,663660
VJC,20190626,124.20,124.50,123.80,124.20,690590
VJC,20190625,123.10,124.50,123.00,123.90,655640
VJC,20190624,123.20,123.80,123.20,123.50,628250
VJC,20190621,123.20,123.50,122.40,123.20,559790
VJC,20190620,119.60,123.50,119.50,123.30,738760
VJC,20190619,119.50,119.80,118.30,119.50,474540
VJC,20190618,119.90,120.40,118.00,118.00,358970
VJC,20190617,119.50,120.40,119.00,119.90,568680
VJC,20190614,121.10,123.00,121.10,121.70,484660
VJC,20190613,123.40,123.40,121.10,121.60,455860
VJC,20190612,124.00,124.10,122.50,123.50,444310
VJC,20190611,123.60,124.20,122.80,124.00,480010
VJC,20190610,122.60,124.80,122.50,124.00,644970
VJC,20190607,121.50,122.20,121.50,122.20,534680
VJC,20190606,121.30,121.40,119.40,121.40,584270
VJC,20190605,121.80,121.90,120.80,121.40,530380
VJC,20190604,122.00,122.60,120.00,121.30,558310
VJC,20190603,124.00,124.00,121.90,122.00,631510
VJC,20190531,124.00,125.00,123.60,124.50,714840
VJC,20190530,123.00,124.20,122.00,124.20,413490
VJC,20190529,124.50,124.50,122.80,123.50,443520
VJC,20190528,120.50,125.00,120.40,125.00,1298700
VJC,20190527,120.50,121.00,119.90,120.50,423350
VJC,20190524,118.80,120.40,118.50,119.90,898900
VJC,20190523,119.50,119.70,118.60,119.40,639060
VJC,20190522,119.00,120.10,118.50,119.50,707930
VJC,20190521,118.40,118.90,118.40,118.80,613310
VJC,20190520,117.90,118.90,117.60,118.30,900890
VJC,20190517,118.00,118.00,117.00,117.90,631990
VJC,20190516,118.00,118.80,117.80,118.00,744920
VJC,20190515,117.00,118.20,117.00,118.00,820490
VJC,20190514,116.00,116.80,115.70,116.80,653650
VJC,20190513,115.30,116.00,115.00,116.00,616000
VJC,20190510,115.50,115.90,114.00,115.40,560410
VJC,20190509,115.50,115.90,114.60,115.50,545570
VJC,20190508,116.00,116.50,114.70,115.50,704440
VJC,20190507,117.50,117.90,116.00,117.00,468670
VJC,20190506,117.50,117.70,116.40,117.30,846420
VJC,20190503,118.30,118.60,117.80,118.50,868540
VJC,20190502,116.50,118.50,116.00,118.50,1077940
VJC,20190426,114.50,115.90,114.20,115.90,575360
VJC,20190425,114.50,115.60,113.90,115.20,670050
VJC,20190424,114.40,114.50,113.40,114.50,401640
VJC,20190423,114.10,114.60,113.40,114.40,431630
VJC,20190422,114.00,114.59,113.70,113.90,448080
VJC,20190419,114.00,114.70,113.60,113.90,568360
VJC,20190418,112.51,114.99,112.31,113.01,995140
VJC,20190417,112.41,112.51,111.32,112.51,565610
VJC,20190416,111.42,112.31,110.72,112.31,619310
VJC,20190412,112.12,113.01,111.52,112.21,876490
VJC,20190411,112.51,114.00,112.02,112.91,1106190
VJC,20190410,112.21,112.21,110.03,111.92,1003980
VJC,20190409,109.54,113.01,106.37,111.52,1595160
VJC,20190408,111.82,112.22,109.44,109.54,621740
VJC,20190405,112.21,112.71,111.42,111.82,522350
VJC,20190404,113.01,113.70,111.82,112.21,451040
VJC,20190403,113.70,113.90,111.62,112.91,761320
VJC,20190402,113.50,114.99,113.50,113.70,504360
VJC,20190401,115.38,115.78,113.10,113.70,959500
VJC,20190329,116.38,116.58,114.89,115.48,944370
VJC,20190328,116.97,117.17,115.49,116.18,620430
VJC,20190327,116.97,117.47,116.47,117.27,459010
VJC,20190326,117.37,118.06,116.77,116.97,459670
VJC,20190325,116.97,117.36,115.88,116.97,815680
VJC,20190322,117.57,118.06,116.78,117.86,481800
VJC,20190321,118.75,118.85,117.16,117.47,660960
VJC,20190320,118.75,118.75,117.06,118.75,592830
VJC,20190319,118.85,119.05,117.96,118.75,809590
VJC,20190318,117.96,118.75,117.76,118.75,660300
VJC,20190315,117.27,118.06,117.27,117.96,598760
VJC,20190314,118.75,118.75,116.77,117.37,1156440
VJC,20190313,119.15,119.65,117.47,118.75,1223310
VJC,20190312,120.34,120.64,118.85,119.45,1048390
VJC,20190311,119.45,120.54,118.96,120.24,794310
VJC,20190308,119.45,119.94,118.46,119.65,1002300
VJC,20190307,119.94,120.53,119.84,120.34,1014890
VJC,20190306,118.95,119.94,118.95,119.94,939310
