<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VPB,20190702,19.35,19.60,19.25,19.30,1620120
VPB,20190701,18.90,19.40,18.85,19.40,1679610
VPB,20190628,18.90,18.95,18.45,18.90,1963890
VPB,20190627,19.05,19.20,18.75,18.85,2671610
VPB,20190626,19.20,19.40,19.20,19.20,1206480
VPB,20190625,19.25,19.45,19.20,19.40,2603250
VPB,20190624,19.20,19.45,19.15,19.30,2006700
VPB,20190621,19.30,19.40,19.10,19.30,2318070
VPB,20190620,18.40,19.20,18.40,19.20,4347040
VPB,20190619,18.55,18.65,18.20,18.55,1292370
VPB,20190618,18.50,18.60,18.20,18.45,2691590
VPB,20190617,18.60,18.70,18.50,18.60,2330100
VPB,20190614,18.25,18.75,18.20,18.60,3211970
VPB,20190613,18.05,18.40,18.05,18.20,2107810
VPB,20190612,18.15,18.20,18.05,18.15,1461730
VPB,20190611,18.15,18.20,17.95,18.15,1180300
VPB,20190610,18.15,18.20,17.70,18.10,1847070
VPB,20190607,18.00,18.10,17.90,17.95,1571060
VPB,20190606,17.60,17.95,17.50,17.95,1321980
VPB,20190605,18.00,18.10,17.85,17.85,1091510
VPB,20190604,17.90,18.05,17.60,18.00,1808710
VPB,20190603,18.15,18.20,17.50,18.00,2063880
VPB,20190531,18.35,18.50,18.20,18.20,965850
VPB,20190530,18.30,18.45,18.20,18.40,1907020
VPB,20190529,18.60,18.60,18.30,18.30,916770
VPB,20190528,18.90,18.90,18.50,18.50,1012920
VPB,20190527,18.60,18.75,18.45,18.75,952130
VPB,20190524,18.60,19.00,18.55,18.65,1086690
VPB,20190523,18.90,19.10,18.70,18.75,1249510
VPB,20190522,19.00,19.30,19.00,19.10,2448820
VPB,20190521,18.90,19.10,18.85,19.00,1825510
VPB,20190520,18.70,18.95,18.65,18.80,1397930
VPB,20190517,18.80,18.90,18.65,18.85,991430
VPB,20190516,18.95,19.05,18.75,18.90,1825590
VPB,20190515,18.55,18.90,18.50,18.90,1841710
VPB,20190514,18.30,18.50,18.25,18.50,1398440
VPB,20190513,18.35,18.75,18.30,18.40,1390780
VPB,20190510,18.35,18.40,18.20,18.35,1422780
VPB,20190509,18.15,18.40,18.10,18.25,1826500
VPB,20190508,18.05,18.30,18.00,18.25,1565680
VPB,20190507,18.50,18.60,18.25,18.25,1079800
VPB,20190506,18.70,18.75,18.00,18.45,2312460
VPB,20190503,18.85,18.95,18.60,18.95,2442790
VPB,20190502,19.15,19.15,18.75,18.95,1096600
VPB,20190426,19.05,19.20,18.95,19.05,1437530
VPB,20190425,19.30,19.30,19.05,19.05,916900
VPB,20190424,19.25,19.35,19.05,19.30,1338870
VPB,20190423,19.15,19.40,19.05,19.10,1540170
VPB,20190422,19.40,19.40,19.00,19.35,1251570
VPB,20190419,19.40,19.40,19.15,19.40,1035910
VPB,20190418,19.45,19.50,19.15,19.30,1293420
VPB,20190417,19.20,19.60,19.15,19.45,2071330
VPB,20190416,19.30,19.40,18.85,19.15,2661560
VPB,20190412,19.55,19.60,19.40,19.45,1735450
VPB,20190411,19.90,19.90,19.60,19.65,900020
VPB,20190410,19.90,20.00,19.45,19.85,2382980
VPB,20190409,19.90,20.15,19.85,19.95,2070500
VPB,20190408,20.10,20.10,19.60,19.85,1657550
VPB,20190405,20.00,20.15,19.90,20.05,1894700
VPB,20190404,19.95,20.15,19.90,20.00,1017850
VPB,20190403,20.10,20.15,19.75,19.95,3328450
VPB,20190402,20.45,20.50,20.15,20.15,1690450
VPB,20190401,20.30,20.45,20.15,20.25,1525280
VPB,20190329,20.60,20.65,20.15,20.20,2449530
VPB,20190328,20.45,20.70,20.40,20.45,1091520
VPB,20190327,20.30,20.70,20.15,20.70,2064200
VPB,20190326,20.30,20.50,20.20,20.20,1641900
VPB,20190325,20.25,20.60,20.00,20.20,3398760
VPB,20190322,21.25,21.25,20.85,21.00,2493250
VPB,20190321,21.75,21.85,21.00,21.00,3158580
VPB,20190320,21.85,21.90,21.50,21.75,2170730
VPB,20190319,22.50,22.50,21.85,21.90,1689000
VPB,20190318,21.90,22.50,21.85,22.50,4480400
VPB,20190315,21.70,21.80,21.55,21.80,1720670
VPB,20190314,21.95,22.00,21.70,21.70,1640600
VPB,20190313,21.75,22.10,21.70,22.00,4507910
VPB,20190312,21.20,21.50,20.95,21.50,2561330
VPB,20190311,21.05,21.20,20.95,21.10,799600
VPB,20190308,21.10,21.25,20.90,21.05,2774400
VPB,20190307,21.30,21.55,21.20,21.30,2681570
VPB,20190306,21.40,21.45,21.15,21.30,1409590
VPB,20190305,21.35,21.70,21.25,21.40,3627360
VPB,20190304,20.90,21.60,20.90,21.40,3088630
VPB,20190301,20.70,20.90,20.60,20.90,2197980
VPB,20190228,21.20,21.20,20.60,20.70,2771900
VPB,20190227,21.20,21.35,21.10,21.20,1606160
VPB,20190226,21.40,21.65,21.10,21.30,2884870
