<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VRE,20190627,34.35,34.35,33.75,33.75,1111580
VRE,20190626,34.35,34.40,34.15,34.35,918020
VRE,20190625,34.50,34.70,34.25,34.30,863690
VRE,20190624,34.50,35.00,34.40,34.50,861360
VRE,20190621,34.30,34.90,34.30,34.30,1961640
VRE,20190620,34.00,34.90,34.00,34.90,914550
VRE,20190619,34.00,34.00,33.70,34.00,655520
VRE,20190618,34.00,34.10,33.35,33.50,1493030
VRE,20190617,34.90,34.90,34.00,34.00,1079830
VRE,20190614,34.60,34.90,34.60,34.90,593520
VRE,20190613,34.70,34.90,34.60,34.70,598250
VRE,20190612,35.15,35.30,34.95,34.95,900490
VRE,20190611,35.15,35.65,35.05,35.20,1331330
VRE,20190610,34.80,35.20,34.80,35.05,1738860
VRE,20190607,34.60,34.80,34.30,34.75,844720
VRE,20190606,34.35,34.55,33.90,34.45,896230
VRE,20190605,34.50,34.65,34.15,34.35,676220
VRE,20190604,34.00,34.40,33.80,34.30,970280
VRE,20190603,34.25,34.65,33.80,33.80,1803890
VRE,20190531,35.00,35.10,34.50,34.80,2071330
VRE,20190530,34.95,35.30,34.50,35.00,1094030
VRE,20190529,34.40,35.10,34.20,34.80,2330360
VRE,20190528,35.30,35.35,34.50,34.60,1920160
VRE,20190527,34.85,35.25,34.85,35.25,1049230
VRE,20190524,35.25,35.70,34.80,35.00,2774230
VRE,20190523,35.50,35.85,35.20,35.25,1688590
VRE,20190522,36.20,36.35,35.75,35.80,1126920
VRE,20190521,36.30,36.30,35.90,36.00,1863050
VRE,20190520,36.00,36.50,35.60,36.15,1340870
VRE,20190517,36.00,36.55,36.00,36.00,3878080
VRE,20190516,35.65,36.23,35.55,35.55,4834930
VRE,20190515,35.26,35.84,35.12,35.55,2555920
VRE,20190514,34.68,35.26,34.68,34.97,1447500
VRE,20190513,34.24,35.17,34.24,34.97,1843190
VRE,20190510,34.28,34.67,33.80,34.34,1571780
VRE,20190509,34.19,34.38,33.90,34.09,913060
VRE,20190508,33.70,34.24,33.60,34.09,1476590
VRE,20190507,34.38,34.77,34.00,34.09,1143530
VRE,20190506,34.10,34.78,34.00,34.19,1798750
VRE,20190503,35.41,35.85,34.88,35.07,5455180
VRE,20190502,35.46,35.46,34.87,35.41,2626910
VRE,20190426,33.99,34.97,33.99,34.97,3071980
VRE,20190425,34.58,34.58,33.90,34.14,1580250
VRE,20190424,34.00,34.39,33.90,34.39,1576360
VRE,20190423,32.88,34.14,32.83,33.71,2128550
VRE,20190422,32.64,33.03,32.64,32.88,966920
VRE,20190419,33.17,33.37,32.88,32.93,683530
VRE,20190418,32.64,33.37,32.45,32.93,1830550
VRE,20190417,33.03,33.27,32.54,32.64,1854430
VRE,20190416,33.03,33.32,32.44,33.03,2634720
VRE,20190412,33.31,34.04,33.31,33.95,1032540
VRE,20190411,34.29,34.34,33.66,33.80,650930
VRE,20190410,33.51,34.19,33.17,34.00,2632930
VRE,20190409,35.16,35.21,33.41,33.61,3127600
VRE,20190408,34.77,35.16,34.38,34.77,1168690
VRE,20190405,34.82,35.21,34.63,34.77,1466970
VRE,20190404,34.48,35.11,34.29,34.48,1858440
VRE,20190403,34.68,34.87,34.14,34.48,2601580
VRE,20190402,35.36,36.14,34.88,34.97,3250020
VRE,20190401,33.80,35.12,33.71,35.07,3530060
VRE,20190329,33.07,34.24,32.83,33.61,4544300
VRE,20190328,32.69,33.27,32.54,32.83,1706660
VRE,20190327,32.25,33.42,31.77,32.98,2343980
VRE,20190326,32.92,32.92,31.03,31.96,3098380
VRE,20190325,33.03,33.32,31.62,32.39,5659310
VRE,20190322,34.29,34.48,33.80,34.00,2962930
VRE,20190321,35.11,35.60,33.51,33.51,3612740
VRE,20190320,36.04,36.13,34.68,35.11,4855120
VRE,20190319,36.91,37.06,35.94,36.62,1903060
VRE,20190318,36.92,37.40,36.53,36.91,1512670
VRE,20190315,36.81,36.91,35.99,36.43,2999450
VRE,20190314,36.72,38.81,36.62,36.91,4400440
VRE,20190313,35.80,36.82,35.75,36.72,4918140
VRE,20190312,34.58,35.74,34.58,35.65,3752290
VRE,20190311,33.52,34.49,33.27,34.48,2248780
VRE,20190308,33.56,34.19,33.51,33.71,1264280
VRE,20190307,33.41,34.43,33.41,34.00,2793560
VRE,20190306,33.22,33.51,32.83,33.51,1289640
VRE,20190305,33.03,33.61,32.93,33.22,2071350
VRE,20190304,33.03,33.71,33.03,33.37,1639580
VRE,20190301,32.49,33.02,32.24,33.03,1236900
VRE,20190228,33.07,33.41,32.05,32.05,4831010
VRE,20190227,33.90,34.19,33.46,33.51,1418370
VRE,20190226,32.83,33.80,32.35,33.51,2184700
VRE,20190225,34.58,34.78,32.25,32.93,3408000
VRE,20190222,33.32,34.92,33.03,34.00,4170500
VRE,20190221,31.08,33.03,31.03,33.03,3820470
VRE,20190220,30.69,31.42,30.69,31.18,1960580
VRE,20190219,30.74,31.37,30.45,30.69,3160210
VRE,20190218,30.01,30.79,30.01,30.74,1364860
VRE,20190215,30.26,30.60,29.97,30.06,1853120
VRE,20190214,29.82,30.60,29.58,30.60,2560640
VRE,20190213,28.95,29.63,28.90,29.53,1989390
VRE,20190212,28.85,29.63,28.46,28.85,2751810
VRE,20190211,28.56,28.61,28.32,28.56,844700
VRE,20190201,28.36,28.46,26.76,28.17,1869640
VRE,20190131,28.65,28.65,28.12,28.36,1650390
VRE,20190130,28.61,28.61,28.32,28.46,666640
VRE,20190129,28.60,28.60,28.26,28.56,1013990
VRE,20190128,28.36,28.55,28.36,28.41,795190
VRE,20190125,28.31,28.55,28.26,28.36,476020
VRE,20190124,27.93,28.85,27.93,28.36,806970
VRE,20190123,27.97,28.36,27.63,28.27,574730
VRE,20190122,28.46,28.65,28.07,28.12,644870
VRE,20190121,28.51,28.85,28.17,28.46,470290
VRE,20190118,29.14,29.73,28.41,28.41,664540
VRE,20190117,30.50,30.50,29.24,29.24,1081730
VRE,20190116,30.11,30.55,29.82,30.55,1559790
VRE,20190115,29.48,30.11,29.33,30.11,1723800
VRE,20190114,29.14,29.48,28.94,29.48,1377450
VRE,20190111,28.61,29.14,28.61,29.04,1834420
VRE,20190110,28.27,28.66,28.17,28.61,1055420
VRE,20190109,26.81,28.32,26.81,28.22,2139870
VRE,20190108,27.10,27.10,26.71,26.81,687890
VRE,20190107,27.20,27.68,27.05,27.10,905730
VRE,20190104,26.72,27.01,25.94,26.71,982790
VRE,20190103,28.12,28.12,26.71,26.91,1247100
